item_id,question_id,domain,subcategory,difficulty,empirical_hardness,empirical_hardness_obs,empirical_accuracy,answer_type,question_text,participant_answer,participant_confidence,notes
HB_EXP1_0012,arithmetic_v2_numerical_reasoning_0049,arithmetic,numerical_reasoning,,1.0,11,0.0,short_text,"Compare the values of 1/4, 0.25, and 25%.","1/4 (= 0.25) and 25% are equal, and 0.25 is also equal to them",0.71,
HB_EXP1_0013,arithmetic_v2_unit_conversion_0035,arithmetic,unit_conversion,,1.0,5,0.0,exact_numeric,"If you have 300 grams of tea, how many kilograms is that?",0.3,0.71,
HB_EXP1_0014,arithmetic_v2_estimation_0022,arithmetic,estimation,,1.0,4,0.0,short_text,About how many hours are in a weekend?,About 48 hours,0.71,
HB_EXP1_0015,arithmetic_v2_numerical_reasoning_0045,arithmetic,numerical_reasoning,,1.0,10,0.0,short_text,"Compare the values of 0.5, 0.6, and 60%.","0.6 is the largest, 0.5 is in the middle, and 60% is the smallest",0.71,
HB_EXP1_0016,arithmetic_v2_unit_conversion_0035,arithmetic,unit_conversion,,1.0,5,0.0,exact_numeric,"A toy car travels 12 meters in 2 minutes. If you want to know how many centimeters it traveled, what is the answer in centimeters?",1200,0.71,
HB_EXP1_0017,arithmetic_v2_estimation_0025,arithmetic,estimation,,1.0,5,0.0,short_text,Roughly how many months are in 1 year?,About 12 months,0.71,
HB_EXP1_0018,arithmetic_v2_numerical_reasoning_0045,arithmetic,numerical_reasoning,,1.0,10,0.0,short_text,Compare 2/3 and 67%. Which is larger?,2/3 (approximately 0.67) is equal to 67%,0.71,
HB_EXP1_0019,arithmetic_v2_unit_conversion_0035,arithmetic,unit_conversion,,1.0,5,0.0,exact_numeric,"If you have 250 grams of coffee, how many kilograms is that?",0.25,0.71,
HB_EXP1_0020,arithmetic_v2_estimation_0025,arithmetic,estimation,,1.0,5,0.0,short_text,"If 1 year is 12 months, how many months are in 0.5 years?",6 months,0.71,
HB_EXP1_0021,arithmetic_v2_numerical_reasoning_0049,arithmetic,numerical_reasoning,,1.0,11,0.0,short_text,"Which is smallest: 40% of 50, 50% of 40, or 60% of 30?",60% of 30 (18),0.71,
HB_EXP1_0022,arithmetic_v2_unit_conversion_0035,arithmetic,unit_conversion,,1.0,5,0.0,exact_numeric,"A bicycle travels 15 kilometers in 1 hour. If you want to know how many meters it traveled, what is the answer in meters?",15000,0.71,
HB_EXP1_0023,arithmetic_v2_estimation_0022,arithmetic,estimation,,1.0,4,0.0,short_text,About how many hours are in 2 weeks?,About 336 hours,0.71,
HB_EXP1_0024,arithmetic_v2_numerical_reasoning_0045,arithmetic,numerical_reasoning,,1.0,10,0.0,short_text,"Compare the values of 1/4, 0.25, and 25%.","1/4 (= 0.25) is equal to 0.25, and 25% is equal to both",0.71,
HB_EXP1_0025,arithmetic_v2_unit_conversion_0035,arithmetic,unit_conversion,,1.0,5,0.0,exact_numeric,"If you have 1200 grams of pasta, how many kilograms is that?",1.2,0.71,
HB_EXP1_0026,arithmetic_v2_estimation_0025,arithmetic,estimation,,1.0,5,0.0,short_text,"If a class of students want to share some pencils equally, and they have 72 pencils, about how many pencils will each student get if there are 12 students?",About 6 pencils,0.71,
HB_EXP1_0027,arithmetic_v2_numerical_reasoning_0016,arithmetic,numerical_reasoning,,1.0,12,0.0,short_text,"Which is the smallest: 0.25, 1/4, or 2/8?",2/8 (= 0.25),0.71,
HB_EXP1_0028,arithmetic_v2_unit_conversion_0035,arithmetic,unit_conversion,,1.0,5,0.0,exact_numeric,"If you have 800 grams of rice, how many kilograms is that?",0.8,0.71,
HB_EXP1_0029,arithmetic_v2_estimation_0020,arithmetic,estimation,,1.0,12,0.0,short_text,About how many seconds are in 4 minutes?,About 240 seconds,0.71,
HB_EXP1_0030,arithmetic_v2_numerical_reasoning_0045,arithmetic,numerical_reasoning,,1.0,10,0.0,short_text,"Compare the values of 1/2, 0.4, and 50%.","1/2 (= 0.5) is the largest, 0.4 is in the middle, and 50% is the smallest",0.71,
HB_EXP1_0031,arithmetic_v2_unit_conversion_0035,arithmetic,unit_conversion,,1.0,5,0.0,exact_numeric,"If you have 750 grams of flour, how many kilograms is that?",0.75,0.71,
HB_EXP1_0032,arithmetic_v2_estimation_0020,arithmetic,estimation,,1.0,12,0.0,short_text,About how many seconds are in 10 minutes?,About 600 seconds,0.71,
HB_EXP1_0033,arithmetic_v2_numerical_reasoning_0018,arithmetic,numerical_reasoning,,1.0,11,0.0,short_text,"Compare the decimals: 0.2, 0.3, and 20%","0.3 is the largest, 20% (= 0.2) is the smallest",0.71,
HB_EXP1_0034,arithmetic_v2_unit_conversion_0031,arithmetic,unit_conversion,,0.8461538461538461,13,0.15384615384615385,exact_numeric,A toy car weighs 150 grams. How many kilograms is that?,0.15,0.71,
HB_EXP1_0035,arithmetic_v2_estimation_0022,arithmetic,estimation,,1.0,4,0.0,short_text,About how many hours are in 12 hours plus 12 hours?,24 hours,0.71,
HB_EXP1_0036,arithmetic_v2_numerical_reasoning_0049,arithmetic,numerical_reasoning,,1.0,11,0.0,short_text,"Compare the values of 0.2, 1/5, and 20%.","1/5 (= 0.2) and 20% are equal, and 0.2 is also equal to them",0.71,
HB_EXP1_0037,arithmetic_v2_unit_conversion_0031,arithmetic,unit_conversion,,0.8461538461538461,13,0.15384615384615385,exact_numeric,A small rock weighs 125 grams. How many kilograms is that?,0.125,0.71,
HB_EXP1_0038,arithmetic_v2_estimation_0025,arithmetic,estimation,,1.0,5,0.0,short_text,"If a group of volunteers want to share some stickers equally, and they have 36 stickers, about how many stickers will each volunteer get if there are 6 volunteers?",About 6 stickers,0.71,
HB_EXP1_0039,arithmetic_v2_numerical_reasoning_0017,arithmetic,numerical_reasoning,,0.8461538461538461,13,0.15384615384615385,short_text,"Rank the following fractions from largest to smallest: 1/2, 1/4, 1/6","1/2, 1/4, 1/6",0.71,
HB_EXP1_0040,arithmetic_v2_unit_conversion_0031,arithmetic,unit_conversion,,0.8461538461538461,13,0.15384615384615385,exact_numeric,"If a recipe requires 50 grams of flour, how many kilograms is that?",0.05,0.71,
HB_EXP1_0041,arithmetic_v2_estimation_0025,arithmetic,estimation,,1.0,5,0.0,short_text,How many months are in 2 years?,About 24 months,0.71,
HB_EXP1_0042,arithmetic_v2_numerical_reasoning_0043,arithmetic,numerical_reasoning,,0.8,5,0.2,short_text,"Which is greatest: 45%, 9/20, or 0.45?",All three are equal,0.71,
HB_EXP1_0043,arithmetic_v2_unit_conversion_0031,arithmetic,unit_conversion,,0.8461538461538461,13,0.15384615384615385,exact_numeric,A book weighs 150 grams. How many kilograms is that?,0.15,0.71,
HB_EXP1_0044,arithmetic_v2_estimation_0020,arithmetic,estimation,,1.0,12,0.0,short_text,About how many days are in 2 weeks?,About 14 days,0.71,
HB_EXP1_0045,arithmetic_v2_numerical_reasoning_0043,arithmetic,numerical_reasoning,,0.8,5,0.2,short_text,"Which is greatest: 30%, 3/10, or 0.3?",All three are equal,0.71,
HB_EXP1_0046,arithmetic_v2_unit_conversion_0031,arithmetic,unit_conversion,,0.8461538461538461,13,0.15384615384615385,exact_numeric,"If a toy car weighs 20 grams, how many kilograms is that?",0.02,0.71,
HB_EXP1_0047,arithmetic_v2_estimation_0025,arithmetic,estimation,,1.0,5,0.0,short_text,"If a team of athletes want to share some energy bars equally, and they have 24 energy bars, about how many energy bars will each athlete get if there are 4 athletes?",About 6 energy bars,0.71,
HB_EXP1_0048,arithmetic_v2_numerical_reasoning_0043,arithmetic,numerical_reasoning,,0.8,5,0.2,short_text,"Which is greatest: 60%, 3/5, or 0.6?",All three are equal,0.71,
HB_EXP1_0049,arithmetic_v2_unit_conversion_0031,arithmetic,unit_conversion,,0.8461538461538461,13,0.15384615384615385,exact_numeric,"If a recipe calls for 250 grams of flour, how many kilograms is that?",0.25,0.71,
HB_EXP1_0050,arithmetic_v2_estimation_0022,arithmetic,estimation,,1.0,4,0.0,short_text,About how many hours are in a 6-day road trip?,About 144 hours,0.71,
HB_EXP1_0051,arithmetic_v2_numerical_reasoning_0043,arithmetic,numerical_reasoning,,0.8,5,0.2,short_text,Which is larger: 0.2 or 20%?,0.2,0.71,
HB_EXP1_0052,arithmetic_v2_unit_conversion_0031,arithmetic,unit_conversion,,0.8461538461538461,13,0.15384615384615385,exact_numeric,A small bag of sugar contains 200 grams of sugar. How many kilograms is that?,0.2,0.71,
HB_EXP1_0053,arithmetic_v2_estimation_0020,arithmetic,estimation,,1.0,12,0.0,short_text,About how many seconds are in 8 minutes?,About 480 seconds,0.71,
HB_EXP1_0054,arithmetic_v2_numerical_reasoning_0043,arithmetic,numerical_reasoning,,0.8,5,0.2,short_text,"Which is greatest: 24%, 6/25, or 0.24?",All three are equal,0.71,
HB_EXP1_0055,arithmetic_v2_unit_conversion_0031,arithmetic,unit_conversion,,0.8461538461538461,13,0.15384615384615385,exact_numeric,A pencil weighs 10 grams. How many kilograms is that?,0.01,0.71,
HB_EXP1_0056,arithmetic_v2_estimation_0022,arithmetic,estimation,,1.0,4,0.0,short_text,About how many hours are in a 4-day weekend?,About 96 hours,0.71,
HB_EXP1_0057,arithmetic_v2_numerical_reasoning_0043,arithmetic,numerical_reasoning,,0.8,5,0.2,short_text,Is 25% greater than 0.25?,No,0.71,
HB_EXP1_0058,arithmetic_v2_unit_conversion_0031,arithmetic,unit_conversion,,0.8461538461538461,13,0.15384615384615385,exact_numeric,"If a book weighs 375 grams, how many kilograms is that?",0.375,0.71,
HB_EXP1_0059,arithmetic_v2_estimation_0020,arithmetic,estimation,,1.0,12,0.0,short_text,About how many seconds are in 10 minutes?,About 600 seconds,0.71,
HB_EXP1_0060,arithmetic_v2_numerical_reasoning_0043,arithmetic,numerical_reasoning,,0.8,5,0.2,short_text,"Which is greatest: 72%, 18/25, or 0.72?",All three are equal,0.71,
HB_EXP1_0061,arithmetic_v2_unit_conversion_0031,arithmetic,unit_conversion,,0.8461538461538461,13,0.15384615384615385,exact_numeric,A water bottle can hold 500 grams of water. How many kilograms is that?,0.5,0.71,
HB_EXP1_0062,arithmetic_v2_estimation_0020,arithmetic,estimation,,1.0,12,0.0,short_text,About how many seconds are in 2 minutes?,About 120 seconds,0.71,
HB_EXP1_0063,arithmetic_v2_numerical_reasoning_0043,arithmetic,numerical_reasoning,,0.8,5,0.2,short_text,Is 0.1 greater than 10%?,No,0.71,
HB_EXP1_0064,arithmetic_v2_unit_conversion_0012,arithmetic,unit_conversion,,0.8333333333333334,12,0.16666666666666666,exact_numeric,How many centimeters are in 1 meter?,100,0.71,
HB_EXP1_0065,factual_v2_cross_domain_trivia_0017,factual,cross_domain_trivia,,1.0,13,0.0,short_text,What architectural feature allows rainwater to drain from a roof?,A clerestory,0.71,
HB_EXP1_0066,factual_v2_geography_0007,factual,geography,,0.7692307692307692,13,0.23076923076923078,short_text,Which desert is the largest in Africa?,Sahara Desert,0.71,
HB_EXP1_0067,factual_v2_history_0008,factual,history,,0.8333333333333334,12,0.16666666666666666,short_text,Who built the Great Library of Alexandria?,The ancient Greeks,0.71,
HB_EXP1_0068,factual_v2_science_0013,factual,science,,0.7692307692307692,13,0.23076923076923078,short_text,What is the scientific term for the study of the Earth's composition?,Geology,0.71,
HB_EXP1_0069,factual_v2_cross_domain_trivia_0041,factual,cross_domain_trivia,,0.8461538461538461,13,0.15384615384615385,short_text,Which chemical element shares its name with a well-known heavy metal band?,Iron,0.71,
HB_EXP1_0070,factual_v2_geography_0007,factual,geography,,0.7692307692307692,13,0.23076923076923078,short_text,What is the world's largest mountain range by length?,Andes mountain range,0.71,
HB_EXP1_0071,factual_v2_history_0023,factual,history,,0.7692307692307692,13,0.23076923076923078,short_text,When did the construction of the Hanging Gardens of Babylon begin?,Around 600 BC,0.71,
HB_EXP1_0072,factual_v2_science_0013,factual,science,,0.7692307692307692,13,0.23076923076923078,short_text,What is the scientific term for the study of the structure of the ocean floor?,Bathymetry,0.71,
HB_EXP1_0073,factual_v2_cross_domain_trivia_0041,factual,cross_domain_trivia,,0.8461538461538461,13,0.15384615384615385,short_text,Which planet discovered by William Herschel is also known as a gas giant?,Uranus,0.71,
HB_EXP1_0074,factual_v2_geography_0007,factual,geography,,0.7692307692307692,13,0.23076923076923078,short_text,What is the world's largest island by population?,Java,0.71,
HB_EXP1_0075,factual_v2_history_0023,factual,history,,0.7692307692307692,13,0.23076923076923078,short_text,What treaty is associated with the end of World War I?,The Treaty of Versailles,0.71,
HB_EXP1_0076,factual_v2_science_0013,factual,science,,0.7692307692307692,13,0.23076923076923078,short_text,What is the scientific term for the study of the Earth's landforms?,Geomorphology,0.71,
HB_EXP1_0077,factual_v2_cross_domain_trivia_0041,factual,cross_domain_trivia,,0.8461538461538461,13,0.15384615384615385,short_text,"Who discovered the planet Uranus, and what is its classification in our solar system?","William Herschel, gas giant",0.71,
HB_EXP1_0078,factual_v2_geography_0007,factual,geography,,0.7692307692307692,13,0.23076923076923078,short_text,Which mountain range is the longest in North America?,Rocky Mountains,0.71,
HB_EXP1_0079,factual_v2_history_0023,factual,history,,0.7692307692307692,13,0.23076923076923078,short_text,What treaty ended World War I?,The Treaty of Versailles,0.71,
HB_EXP1_0080,factual_v2_science_0013,factual,science,,0.7692307692307692,13,0.23076923076923078,short_text,"What is the speed of light in a vacuum, in hundreds of thousands of kilometers per second?",3,0.71,
HB_EXP1_0081,factual_v2_cross_domain_trivia_0041,factual,cross_domain_trivia,,0.8461538461538461,13,0.15384615384615385,short_text,What is the largest planet in our solar system?,Jupiter,0.71,
HB_EXP1_0082,factual_v2_geography_0007,factual,geography,,0.7692307692307692,13,0.23076923076923078,short_text,What is the world's largest waterfall by volume?,Inga Falls,0.71,
HB_EXP1_0083,factual_v2_history_0023,factual,history,,0.7692307692307692,13,0.23076923076923078,short_text,What is the name of the famous treaty signed after World War I?,The Treaty of Versailles,0.71,
HB_EXP1_0084,factual_v2_science_0013,factual,science,,0.7692307692307692,13,0.23076923076923078,short_text,What is the approximate speed of light in kilometers per second?,"300,000",0.71,
HB_EXP1_0085,factual_v2_cross_domain_trivia_0041,factual,cross_domain_trivia,,0.8461538461538461,13,0.15384615384615385,short_text,What chemical element is also the name of a popular rock band?,Iron,0.71,
HB_EXP1_0086,factual_v2_geography_0007,factual,geography,,0.7692307692307692,13,0.23076923076923078,short_text,What is the world's largest ocean by volume?,Pacific Ocean,0.71,
HB_EXP1_0087,factual_v2_history_0023,factual,history,,0.7692307692307692,13,0.23076923076923078,short_text,When did the construction of the Statue of Zeus at Olympia begin?,Around 466 BC,0.71,
HB_EXP1_0088,factual_v2_science_0013,factual,science,,0.7692307692307692,13,0.23076923076923078,short_text,What is the scientific term for the study of the structure of the ocean floor?,Bathymetry,0.71,
HB_EXP1_0089,factual_v2_cross_domain_trivia_0041,factual,cross_domain_trivia,,0.8461538461538461,13,0.15384615384615385,short_text,What chemical element is also the name of a heavy metal band formed in the 1960s?,Iron,0.71,
HB_EXP1_0090,factual_v2_geography_0007,factual,geography,,0.7692307692307692,13,0.23076923076923078,short_text,Which strait is the longest in Southeast Asia?,Malacca Strait,0.71,
HB_EXP1_0091,factual_v2_history_0023,factual,history,,0.7692307692307692,13,0.23076923076923078,short_text,In what year did the construction of the Great Wall of China start?,Around 221 BC,0.71,
HB_EXP1_0092,factual_v2_science_0013,factual,science,,0.7692307692307692,13,0.23076923076923078,short_text,The speed of light in a vacuum is approximately how many hundred thousand kilometers per second?,3,0.71,
HB_EXP1_0093,factual_v2_cross_domain_trivia_0041,factual,cross_domain_trivia,,0.8461538461538461,13,0.15384615384615385,short_text,Which heavy metal band shares its name with a chemical element found in the Earth's core?,Iron,0.71,
HB_EXP1_0094,factual_v2_geography_0007,factual,geography,,0.7692307692307692,13,0.23076923076923078,short_text,What is the world's largest island by area?,Greenland,0.71,
HB_EXP1_0095,factual_v2_history_0023,factual,history,,0.7692307692307692,13,0.23076923076923078,short_text,When did the construction of the Great Wall of China begin?,Around 221 BC,0.71,
HB_EXP1_0096,factual_v2_science_0013,factual,science,,0.7692307692307692,13,0.23076923076923078,short_text,What is the scientific term for the study of the structure of the Moon?,Selenology,0.71,
HB_EXP1_0097,factual_v2_cross_domain_trivia_0041,factual,cross_domain_trivia,,0.8461538461538461,13,0.15384615384615385,short_text,What is the name of the chemical element that is also the name of a heavy metal band?,Iron,0.71,
HB_EXP1_0098,factual_v2_geography_0007,factual,geography,,0.7692307692307692,13,0.23076923076923078,short_text,What is the world's largest ocean by volume?,Pacific Ocean,0.71,
HB_EXP1_0099,factual_v2_history_0023,factual,history,,0.7692307692307692,13,0.23076923076923078,short_text,When did the construction of the Temple of Artemis at Ephesus begin?,Around 550 BC,0.71,
HB_EXP1_0100,factual_v2_science_0013,factual,science,,0.7692307692307692,13,0.23076923076923078,short_text,What is the scientific term for the study of the Earth's physical features?,Geomorphology,0.71,
HB_EXP1_0101,factual_v2_cross_domain_trivia_0041,factual,cross_domain_trivia,,0.8461538461538461,13,0.15384615384615385,short_text,What is the name of the gas giant planet discovered in the 18th century?,Uranus,0.71,
HB_EXP1_0102,factual_v2_geography_0007,factual,geography,,0.7692307692307692,13,0.23076923076923078,short_text,What is the world's largest lake by surface area?,Caspian Sea,0.71,
HB_EXP1_0103,factual_v2_history_0023,factual,history,,0.7692307692307692,13,0.23076923076923078,short_text,When did the construction of the Hanging Gardens of Babylon begin?,Around 600 BC,0.71,
HB_EXP1_0104,factual_v2_science_0013,factual,science,,0.7692307692307692,13,0.23076923076923078,short_text,What is the scientific term for the study of the Earth's physical features?,Geomorphology,0.71,
HB_EXP1_0105,factual_v2_cross_domain_trivia_0041,factual,cross_domain_trivia,,0.8461538461538461,13,0.15384615384615385,short_text,What chemical element is also the name of a heavy metal band?,Iron,0.71,
HB_EXP1_0106,factual_v2_geography_0007,factual,geography,,0.7692307692307692,13,0.23076923076923078,short_text,What is the world's largest desert by area?,Antarctic Desert,0.71,
HB_EXP1_0107,factual_v2_history_0023,factual,history,,0.7692307692307692,13,0.23076923076923078,short_text,When did the construction of the Great Pyramid of Giza begin?,Around 2580 BC,0.71,
HB_EXP1_0108,factual_v2_science_0013,factual,science,,0.7692307692307692,13,0.23076923076923078,short_text,What is the scientific term for the study of the structure of the Earth?,Geology,0.71,
HB_EXP1_0109,factual_v2_cross_domain_trivia_0042,factual,cross_domain_trivia,,0.6,5,0.4,short_text,Which ancient city was the capital of the Babylonian Empire and is now a UNESCO World Heritage site?,Babylon,0.71,
HB_EXP1_0110,factual_v2_geography_0007,factual,geography,,0.7692307692307692,13,0.23076923076923078,short_text,What is the world's largest coral reef system by area?,Great Barrier Reef,0.71,
HB_EXP1_0111,factual_v2_history_0023,factual,history,,0.7692307692307692,13,0.23076923076923078,short_text,When did the construction of the Statue of Zeus at Olympia begin?,Around 466 BC,0.71,
HB_EXP1_0112,factual_v2_science_0013,factual,science,,0.7692307692307692,13,0.23076923076923078,short_text,What is the scientific term for the study of the Earth's composition?,Petrology,0.71,
HB_EXP1_0113,factual_v2_cross_domain_trivia_0042,factual,cross_domain_trivia,,0.6,5,0.4,short_text,What ancient city was the capital of the Khmer Empire and is now a UNESCO World Heritage site?,Angkor,0.71,
HB_EXP1_0114,factual_v2_geography_0007,factual,geography,,0.7692307692307692,13,0.23076923076923078,short_text,What is the world's largest mountain range by length?,Mid-Ocean Ridge,0.71,
HB_EXP1_0115,factual_v2_history_0023,factual,history,,0.7692307692307692,13,0.23076923076923078,short_text,What was the name of the treaty that ended World War I?,The Treaty of Versailles,0.71,
HB_EXP1_0116,factual_v2_science_0013,factual,science,,0.7692307692307692,13,0.23076923076923078,short_text,"Is the speed of light in a vacuum approximately 200,000 or 300,000 kilometers per second?","300,000",0.71,
HB_EXP1_0117,factual_v2_cross_domain_trivia_0042,factual,cross_domain_trivia,,0.6,5,0.4,short_text,Which poet was married to Mary Shelley?,Percy Bysshe Shelley,0.71,
HB_EXP1_0118,factual_v2_geography_0007,factual,geography,,0.7692307692307692,13,0.23076923076923078,short_text,What is the world's largest rainforest by area?,Amazon Rainforest,0.71,
HB_EXP1_0119,factual_v2_history_0023,factual,history,,0.7692307692307692,13,0.23076923076923078,short_text,When did the construction of the Mausoleum at Halicarnassus begin?,Around 350 BC,0.71,
HB_EXP1_0120,factual_v2_science_0013,factual,science,,0.7692307692307692,13,0.23076923076923078,short_text,What is the scientific term for the study of the Earth's internal structure?,Seismology,0.71,
HB_EXP1_0121,factual_v2_cross_domain_trivia_0042,factual,cross_domain_trivia,,0.6,5,0.4,short_text,Mary Shelley's husband was a famous poet. What was his name?,Percy Bysshe Shelley,0.71,
HB_EXP1_0122,factual_v2_geography_0004,factual,geography,,0.6,5,0.4,short_text,Which lake has the longest shoreline in North America?,Lake Superior,0.71,
HB_EXP1_0123,factual_v2_history_0023,factual,history,,0.7692307692307692,13,0.23076923076923078,short_text,When did the construction of the Temple of Artemis at Ephesus begin?,Around 550 BC,0.71,
HB_EXP1_0124,factual_v2_science_0013,factual,science,,0.7692307692307692,13,0.23076923076923078,short_text,What is the scientific term for the study of the structure of Mars?,Areology,0.71,
HB_EXP1_0125,factual_v2_cross_domain_trivia_0042,factual,cross_domain_trivia,,0.6,5,0.4,short_text,"Mary Shelley, the author of 'Frankenstein', was married to which poet?",Percy Bysshe Shelley,0.71,
HB_EXP1_0126,factual_v2_geography_0004,factual,geography,,0.6,5,0.4,short_text,Which region has the longest coastline in Europe?,Norway,0.71,
HB_EXP1_0127,factual_v2_history_0023,factual,history,,0.7692307692307692,13,0.23076923076923078,short_text,When did the construction of the Mausoleum at Halicarnassus begin?,Around 350 BC,0.71,
HB_EXP1_0128,factual_v2_science_0012,factual,science,,0.6153846153846154,13,0.38461538461538464,short_text,What is the basic building block of a chemical element?,Atom,0.71,
HB_EXP1_0129,linguistic_v2_ambiguity_resolution_0024,linguistic,ambiguity_resolution,,1.0,6,0.0,short_text,Provide two distinct interpretations of the sentence: 'The supervisor is speaking with the workers who are on the night shift.',(1) The supervisor is having a conversation with the workers who are currently on the night shift; (2) The supervisor is speaking with the workers to discuss the night shift.,0.71,
HB_EXP1_0130,linguistic_v2_grammar_correction_0047,linguistic,grammar_correction,,1.0,5,0.0,short_text,"What is the grammatical error in: 'The new researcher, who the professor supervised last semester, are very knowledgeable.'","'are' should be 'is' — 'researcher' is the singular subject, 'who the professor supervised' is a non-restrictive clause",0.71,
HB_EXP1_0131,linguistic_v2_register_formality_0031,linguistic,register_formality,,1.0,5,0.0,short_text,Why was the new policy introduced?,The new policy was introduced to improve student security.,0.71,
HB_EXP1_0132,linguistic_v2_ambiguity_resolution_0025,linguistic,ambiguity_resolution,,1.0,4,0.0,short_text,Give two interpretations of: 'The mom spoke to the child with a hat.',(1) The mom spoke to the child while the child was wearing a hat; (2) The mom spoke to the child who was holding a hat.,0.71,
HB_EXP1_0133,linguistic_v2_grammar_correction_0044,linguistic,grammar_correction,,1.0,5,0.0,short_text,Identify the grammatical error in: 'The new policy affects all employees whom are working on the project.',"'whom are' should be 'who are' — 'who' is the subject of the clause, not 'whom'",0.71,
HB_EXP1_0134,linguistic_v2_register_formality_0015,linguistic,register_formality,,1.0,8,0.0,short_text,Can you hand me the salt?,Could you hand me the salt?,0.71,
HB_EXP1_0135,linguistic_v2_ambiguity_resolution_0025,linguistic,ambiguity_resolution,,1.0,4,0.0,short_text,Give two interpretations of: 'The teacher called the student with a smile.',(1) The teacher called the student while smiling; (2) The teacher called the student who was smiling.,0.71,
HB_EXP1_0136,linguistic_v2_grammar_correction_0044,linguistic,grammar_correction,,1.0,5,0.0,short_text,Identify the grammatical error in: 'The new regulation impacts all students whom are taking the course.',"'whom are' should be 'who are' — 'who' is the subject of the clause, not 'whom'",0.71,
HB_EXP1_0137,linguistic_v2_register_formality_0031,linguistic,register_formality,,1.0,5,0.0,short_text,"Rewrite in formal register: 'Good luck with your exam, Sarah!'",I wish you success in your examination.,0.71,
HB_EXP1_0138,linguistic_v2_ambiguity_resolution_0020,linguistic,ambiguity_resolution,,1.0,5,0.0,short_text,Provide two distinct interpretations of the sentence: 'The detective questioned the witness with a microphone.',(1) The detective used a microphone to question the witness; (2) The detective questioned a witness who had a microphone.,0.71,
HB_EXP1_0139,linguistic_v2_grammar_correction_0046,linguistic,grammar_correction,,1.0,5,0.0,short_text,"Identify the grammatical error in: 'If I were her, I wouldn't attend that concert.'","'were' is correct in this context, the error is actually 'her' should be 'she' — the correct pronoun to use in the subjunctive mood is the nominative 'she', not the accusative 'her'.",0.71,
HB_EXP1_0140,linguistic_v2_register_formality_0033,linguistic,register_formality,,1.0,5,0.0,short_text,Rewrite in informal register: 'I would like to acknowledge your contribution to our team's success.',"Thanks for your contribution, it made a big difference.",0.71,
HB_EXP1_0141,linguistic_v2_ambiguity_resolution_0020,linguistic,ambiguity_resolution,,1.0,5,0.0,short_text,What are two possible meanings of the sentence: 'The dog bit the man with a stick.',(1) The dog used a stick to bite the man; (2) The man had a stick and was bitten by the dog.,0.71,
