item_id,task_id,domain_a,domain_b,correct_answer_a,correct_answer_b,answer_type_a,answer_type_b
HB_EXP9_0109,fixed_log_soc_025_07,logical,social,no,B,boolean,multiple_choice
HB_EXP9_0110,fixed_log_soc_025_02,logical,social,no,B,boolean,multiple_choice
HB_EXP9_0111,fixed_log_soc_025_00,logical,social,yes,B,boolean,multiple_choice
HB_EXP9_0112,fixed_log_soc_025_04,logical,social,yes,C,boolean,multiple_choice
HB_EXP9_0113,fixed_log_soc_025_03,logical,social,no,A,boolean,multiple_choice
HB_EXP9_0114,fixed_log_soc_025_05,logical,social,yes,B,boolean,multiple_choice
HB_EXP9_0115,fixed_spa_log_010_00,spatial,logical,100,yes,exact_numeric,boolean
HB_EXP9_0116,fixed_spa_log_010_04,spatial,logical,3496,yes,exact_numeric,boolean
HB_EXP9_0117,fixed_spa_log_010_05,spatial,logical,100,yes,exact_numeric,boolean
HB_EXP9_0118,fixed_spa_log_010_08,spatial,logical,23,5,exact_numeric,exact_numeric
HB_EXP9_0119,fixed_spa_log_010_03,spatial,logical,23,5,exact_numeric,exact_numeric
HB_EXP9_0120,fixed_spa_log_010_01,spatial,logical,1200,no,exact_numeric,boolean
HB_EXP9_0121,fixed_tem_log_015_04,temporal,logical,February 1,yes,short_text,boolean
HB_EXP9_0122,fixed_tem_log_015_06,temporal,logical,March 10,yes,short_text,boolean
HB_EXP9_0123,fixed_tem_log_015_07,temporal,logical,12:00 AM (midnight),no,short_text,boolean
HB_EXP9_0124,fixed_tem_log_015_05,temporal,logical,"April 14, 2024",yes,short_text,boolean
HB_EXP9_0125,fixed_tem_log_015_02,temporal,logical,12:00 AM (midnight),no,short_text,boolean
HB_EXP9_0126,fixed_tem_log_015_00,temporal,logical,"April 14, 2024",yes,short_text,boolean
HB_EXP9_0127,fixed_soc_pro_027_04,social,procedural,D,no,multiple_choice,boolean
HB_EXP9_0128,fixed_soc_pro_027_08,social,procedural,C,no,multiple_choice,boolean
HB_EXP9_0129,fixed_soc_pro_027_02,social,procedural,deferred judgment or withhold criticism,no,short_text,boolean
HB_EXP9_0130,fixed_soc_pro_027_01,social,procedural,impartiality and procedural fairness,no,short_text,boolean
HB_EXP9_0131,fixed_soc_pro_027_06,social,procedural,impartiality and procedural fairness,no,short_text,boolean
HB_EXP9_0132,fixed_soc_pro_027_07,social,procedural,deferred judgment or withhold criticism,no,short_text,boolean
HB_EXP9_0133,fixed_spa_pro_013_08,spatial,procedural,14,no,exact_numeric,boolean
HB_EXP9_0134,fixed_spa_pro_013_03,spatial,procedural,14,no,exact_numeric,boolean
HB_EXP9_0135,fixed_spa_pro_013_06,spatial,procedural,500,no,exact_numeric,boolean
HB_EXP9_0136,fixed_spa_pro_013_00,spatial,procedural,1500,no,exact_numeric,boolean
HB_EXP9_0137,fixed_spa_pro_013_02,spatial,procedural,155,no,exact_numeric,boolean
HB_EXP9_0138,fixed_spa_pro_013_07,spatial,procedural,155,no,exact_numeric,boolean
HB_EXP9_0139,fixed_tem_pro_018_07,temporal,procedural,yes,no,boolean,boolean
HB_EXP9_0140,fixed_tem_pro_018_04,temporal,procedural,10:50 AM,"steps 1, 2, and 3",short_text,short_text
HB_EXP9_0141,fixed_tem_pro_018_01,temporal,procedural,4:35 PM,step 2 or mixing,short_text,short_text
HB_EXP9_0142,fixed_tem_pro_018_02,temporal,procedural,yes,no,boolean,boolean
HB_EXP9_0143,fixed_pro_tem_031_01,procedural,temporal,step 2 or mixing,4:35 PM,short_text,short_text
HB_EXP9_0144,fixed_pro_tem_031_06,procedural,temporal,step 2 or mixing,4:35 PM,short_text,short_text
HB_EXP9_0145,fixed_spa_soc_011_08,spatial,social,65,row seating inhibits peer interaction and collaboration,exact_numeric,short_text
HB_EXP9_0146,fixed_spa_soc_011_03,spatial,social,65,row seating inhibits peer interaction and collaboration,exact_numeric,short_text
HB_EXP9_0147,fixed_spa_soc_011_01,spatial,social,40,no,exact_numeric,boolean
HB_EXP9_0148,fixed_spa_soc_011_04,spatial,social,314,no,exact_numeric,boolean
HB_EXP9_0149,fixed_spa_soc_011_02,spatial,social,300,maximize product exposure and encourage impulse purchases,exact_numeric,short_text
HB_EXP9_0150,fixed_spa_soc_011_00,spatial,social,50,B,exact_numeric,multiple_choice
HB_EXP9_0151,fixed_tem_soc_016_04,temporal,social,10 hours,B,short_text,multiple_choice
HB_EXP9_0152,fixed_tem_soc_016_05,temporal,social,7,B,exact_numeric,multiple_choice
HB_EXP9_0153,fixed_tem_soc_016_00,temporal,social,7,B,exact_numeric,multiple_choice
HB_EXP9_0154,fixed_tem_soc_016_03,temporal,social,8.5,C,exact_numeric,multiple_choice
HB_EXP9_0155,fixed_tem_soc_016_01,temporal,social,53.5,C,exact_numeric,multiple_choice
HB_EXP9_0156,fixed_tem_soc_016_08,temporal,social,8.5,C,exact_numeric,multiple_choice
HB_EXP9_0157,fixed_spa_tem_008_02,spatial,temporal,6495,6,exact_numeric,exact_numeric
HB_EXP9_0158,fixed_spa_tem_008_06,spatial,temporal,10,1:15 PM,exact_numeric,short_text
HB_EXP9_0159,fixed_spa_tem_008_01,spatial,temporal,10,1:15 PM,exact_numeric,short_text
HB_EXP9_0160,fixed_spa_tem_008_07,spatial,temporal,6495,6,exact_numeric,exact_numeric
HB_EXP9_0161,fixed_spa_tem_008_05,spatial,temporal,750,April 21,exact_numeric,short_text
HB_EXP9_0162,fixed_spa_tem_008_00,spatial,temporal,750,April 21,exact_numeric,short_text
