item_id,question_id,correct_answer,answer_type,domain
HB_EXP1_0056,arithmetic_v2_estimation_0022,About 96 hours,short_text,arithmetic
HB_EXP1_0057,arithmetic_v2_numerical_reasoning_0043,No,short_text,arithmetic
HB_EXP1_0058,arithmetic_v2_unit_conversion_0031,0.375,exact_numeric,arithmetic
HB_EXP1_0059,arithmetic_v2_estimation_0020,About 600 seconds,short_text,arithmetic
HB_EXP1_0060,arithmetic_v2_numerical_reasoning_0043,All three are equal,short_text,arithmetic
HB_EXP1_0061,arithmetic_v2_unit_conversion_0031,0.5,exact_numeric,arithmetic
HB_EXP1_0062,arithmetic_v2_estimation_0020,About 120 seconds,short_text,arithmetic
HB_EXP1_0063,arithmetic_v2_numerical_reasoning_0043,No,short_text,arithmetic
HB_EXP1_0064,arithmetic_v2_unit_conversion_0012,100,exact_numeric,arithmetic
HB_EXP1_0065,factual_v2_cross_domain_trivia_0017,A clerestory,short_text,factual
HB_EXP1_0066,factual_v2_geography_0007,Sahara Desert,short_text,factual
HB_EXP1_0067,factual_v2_history_0008,The ancient Greeks,short_text,factual
HB_EXP1_0068,factual_v2_science_0013,Geology,short_text,factual
HB_EXP1_0069,factual_v2_cross_domain_trivia_0041,Iron,short_text,factual
HB_EXP1_0070,factual_v2_geography_0007,Andes mountain range,short_text,factual
HB_EXP1_0071,factual_v2_history_0023,Around 600 BC,short_text,factual
HB_EXP1_0072,factual_v2_science_0013,Bathymetry,short_text,factual
HB_EXP1_0073,factual_v2_cross_domain_trivia_0041,Uranus,short_text,factual
HB_EXP1_0074,factual_v2_geography_0007,Java,short_text,factual
HB_EXP1_0075,factual_v2_history_0023,The Treaty of Versailles,short_text,factual
HB_EXP1_0076,factual_v2_science_0013,Geomorphology,short_text,factual
HB_EXP1_0077,factual_v2_cross_domain_trivia_0041,"William Herschel, gas giant",short_text,factual
HB_EXP1_0078,factual_v2_geography_0007,Rocky Mountains,short_text,factual
HB_EXP1_0079,factual_v2_history_0023,The Treaty of Versailles,short_text,factual
HB_EXP1_0080,factual_v2_science_0013,3,short_text,factual
HB_EXP1_0081,factual_v2_cross_domain_trivia_0041,Jupiter,short_text,factual
HB_EXP1_0082,factual_v2_geography_0007,Inga Falls,short_text,factual
HB_EXP1_0083,factual_v2_history_0023,The Treaty of Versailles,short_text,factual
HB_EXP1_0084,factual_v2_science_0013,"300,000",short_text,factual
HB_EXP1_0085,factual_v2_cross_domain_trivia_0041,Iron,short_text,factual
HB_EXP1_0086,factual_v2_geography_0007,Pacific Ocean,short_text,factual
HB_EXP1_0087,factual_v2_history_0023,Around 466 BC,short_text,factual
HB_EXP1_0088,factual_v2_science_0013,Bathymetry,short_text,factual
HB_EXP1_0089,factual_v2_cross_domain_trivia_0041,Iron,short_text,factual
HB_EXP1_0090,factual_v2_geography_0007,Malacca Strait,short_text,factual
HB_EXP1_0091,factual_v2_history_0023,Around 221 BC,short_text,factual
HB_EXP1_0092,factual_v2_science_0013,3,short_text,factual
HB_EXP1_0093,factual_v2_cross_domain_trivia_0041,Iron,short_text,factual
HB_EXP1_0094,factual_v2_geography_0007,Greenland,short_text,factual
HB_EXP1_0095,factual_v2_history_0023,Around 221 BC,short_text,factual
HB_EXP1_0096,factual_v2_science_0013,Selenology,short_text,factual
HB_EXP1_0097,factual_v2_cross_domain_trivia_0041,Iron,short_text,factual
HB_EXP1_0098,factual_v2_geography_0007,Pacific Ocean,short_text,factual
HB_EXP1_0099,factual_v2_history_0023,Around 550 BC,short_text,factual
HB_EXP1_0100,factual_v2_science_0013,Geomorphology,short_text,factual
HB_EXP1_0101,factual_v2_cross_domain_trivia_0041,Uranus,short_text,factual
HB_EXP1_0102,factual_v2_geography_0007,Caspian Sea,short_text,factual
HB_EXP1_0103,factual_v2_history_0023,Around 600 BC,short_text,factual
HB_EXP1_0104,factual_v2_science_0013,Geomorphology,short_text,factual
HB_EXP1_0105,factual_v2_cross_domain_trivia_0041,Iron,short_text,factual
HB_EXP1_0106,factual_v2_geography_0007,Antarctic Desert,short_text,factual
HB_EXP1_0107,factual_v2_history_0023,Around 2580 BC,short_text,factual
HB_EXP1_0108,factual_v2_science_0013,Geology,short_text,factual
HB_EXP1_0109,factual_v2_cross_domain_trivia_0042,Babylon,short_text,factual
HB_EXP1_0110,factual_v2_geography_0007,Great Barrier Reef,short_text,factual
HB_EXP1_0111,factual_v2_history_0023,Around 466 BC,short_text,factual
HB_EXP1_0112,factual_v2_science_0013,Petrology,short_text,factual
HB_EXP1_0113,factual_v2_cross_domain_trivia_0042,Angkor,short_text,factual
HB_EXP1_0114,factual_v2_geography_0007,Mid-Ocean Ridge,short_text,factual
HB_EXP1_0115,factual_v2_history_0023,The Treaty of Versailles,short_text,factual
HB_EXP1_0116,factual_v2_science_0013,"300,000",short_text,factual
HB_EXP1_0117,factual_v2_cross_domain_trivia_0042,Percy Bysshe Shelley,short_text,factual
HB_EXP1_0118,factual_v2_geography_0007,Amazon Rainforest,short_text,factual
HB_EXP1_0119,factual_v2_history_0023,Around 350 BC,short_text,factual
HB_EXP1_0120,factual_v2_science_0013,Seismology,short_text,factual
HB_EXP1_0121,factual_v2_cross_domain_trivia_0042,Percy Bysshe Shelley,short_text,factual
HB_EXP1_0122,factual_v2_geography_0004,Lake Superior,short_text,factual
HB_EXP1_0123,factual_v2_history_0023,Around 550 BC,short_text,factual
HB_EXP1_0124,factual_v2_science_0013,Areology,short_text,factual
HB_EXP1_0125,factual_v2_cross_domain_trivia_0042,Percy Bysshe Shelley,short_text,factual
HB_EXP1_0126,factual_v2_geography_0004,Norway,short_text,factual
HB_EXP1_0127,factual_v2_history_0023,Around 350 BC,short_text,factual
HB_EXP1_0128,factual_v2_science_0012,Atom,short_text,factual
HB_EXP1_0129,linguistic_v2_ambiguity_resolution_0024,(1) The supervisor is having a conversation with the workers who are currently on the night shift; (2) The supervisor is speaking with the workers to discuss the night shift.,short_text,linguistic
HB_EXP1_0130,linguistic_v2_grammar_correction_0047,"'are' should be 'is' — 'researcher' is the singular subject, 'who the professor supervised' is a non-restrictive clause",short_text,linguistic
HB_EXP1_0131,linguistic_v2_register_formality_0031,The new policy was introduced to improve student security.,short_text,linguistic
HB_EXP1_0132,linguistic_v2_ambiguity_resolution_0025,(1) The mom spoke to the child while the child was wearing a hat; (2) The mom spoke to the child who was holding a hat.,short_text,linguistic
HB_EXP1_0133,linguistic_v2_grammar_correction_0044,"'whom are' should be 'who are' — 'who' is the subject of the clause, not 'whom'",short_text,linguistic
HB_EXP1_0134,linguistic_v2_register_formality_0015,Could you hand me the salt?,short_text,linguistic
HB_EXP1_0135,linguistic_v2_ambiguity_resolution_0025,(1) The teacher called the student while smiling; (2) The teacher called the student who was smiling.,short_text,linguistic
HB_EXP1_0136,linguistic_v2_grammar_correction_0044,"'whom are' should be 'who are' — 'who' is the subject of the clause, not 'whom'",short_text,linguistic
HB_EXP1_0137,linguistic_v2_register_formality_0031,I wish you success in your examination.,short_text,linguistic
HB_EXP1_0138,linguistic_v2_ambiguity_resolution_0020,(1) The detective used a microphone to question the witness; (2) The detective questioned a witness who had a microphone.,short_text,linguistic
HB_EXP1_0139,linguistic_v2_grammar_correction_0046,"'were' is correct in this context, the error is actually 'her' should be 'she' — the correct pronoun to use in the subjunctive mood is the nominative 'she', not the accusative 'her'.",short_text,linguistic
HB_EXP1_0140,linguistic_v2_register_formality_0033,"Thanks for your contribution, it made a big difference.",short_text,linguistic
HB_EXP1_0141,linguistic_v2_ambiguity_resolution_0020,(1) The dog used a stick to bite the man; (2) The man had a stick and was bitten by the dog.,short_text,linguistic
HB_EXP1_0142,linguistic_v2_grammar_correction_0047,"'are' should be 'is' — 'intern' is the singular subject, 'whom the CEO recruited' is a non-restrictive clause",short_text,linguistic
HB_EXP1_0143,linguistic_v2_register_formality_0035,Could you please respond when you are available to discuss?,short_text,linguistic
HB_EXP1_0144,linguistic_v2_ambiguity_resolution_0028,(1) The new curriculum is having an impact on the students who are in their final year of study; (2) The new curriculum is impacting the students in a way that is in its final year (less likely),short_text,linguistic
HB_EXP1_0145,linguistic_v2_grammar_correction_0040,"'are' should be 'is' — subject-verb agreement, 'student' is the singular subject",short_text,linguistic
HB_EXP1_0146,linguistic_v2_register_formality_0039,How are you doing today?,short_text,linguistic
HB_EXP1_0147,linguistic_v2_ambiguity_resolution_0024,The book is on the shelf that has an empty space.,short_text,linguistic
HB_EXP1_0148,linguistic_v2_grammar_correction_0044,"'whom have' should be 'who have' — 'who' is the subject of the clause, not 'whom'",short_text,linguistic
HB_EXP1_0149,linguistic_v2_register_formality_0031,I have every confidence in your success.,short_text,linguistic
HB_EXP1_0150,linguistic_v2_ambiguity_resolution_0020,(1) The teacher gave the student a book and a pen; (2) The book the teacher gave had a pen inside.,short_text,linguistic
HB_EXP1_0151,linguistic_v2_grammar_correction_0047,"'are' should be 'is' — 'analyst' is the singular subject, 'who the team leader trained' is a non-restrictive clause",short_text,linguistic
HB_EXP1_0152,linguistic_v2_register_formality_0039,How are you doing today?,short_text,linguistic
HB_EXP1_0153,linguistic_v2_ambiguity_resolution_0020,(1) The firefighter used a ladder to rescue the child; (2) The firefighter rescued a child who was on a ladder.,short_text,linguistic
HB_EXP1_0154,linguistic_v2_grammar_correction_0049,"'it's' should be 'its' — 'its' shows possession, 'it's' is a contraction of 'it is'",short_text,linguistic
HB_EXP1_0155,linguistic_v2_register_formality_0035,No,short_text,linguistic
HB_EXP1_0156,linguistic_v2_ambiguity_resolution_0024,(1) The director is having a meeting with the actors who are currently on the picket line; (2) The director is meeting with the actors to discuss the picket line.,short_text,linguistic
HB_EXP1_0157,linguistic_v2_grammar_correction_0045,'are' should be 'is' — the subject is singular,short_text,linguistic
HB_EXP1_0158,linguistic_v2_register_formality_0035,Could you please contact me when you have a spare moment?,short_text,linguistic
HB_EXP1_0159,linguistic_v2_ambiguity_resolution_0024,(1) The principal is having a conversation with the parents who are currently on the school board; (2) The principal is speaking with the parents to discuss the school board.,short_text,linguistic
HB_EXP1_0160,linguistic_v2_grammar_correction_0048,Should use the simple future tense 'will be' instead of the future perfect 'will have been' — 'by next year' indicates a future time,short_text,linguistic
HB_EXP1_0161,linguistic_v2_register_formality_0012,"Yes, I want to come to the party.",short_text,linguistic
HB_EXP1_0162,linguistic_v2_ambiguity_resolution_0022,(1) I'm searching for a pen that I can use to write with; (2) I'm looking for a pen with which to write (formal or old-fashioned usage).,short_text,linguistic
HB_EXP1_0163,linguistic_v2_grammar_correction_0045,"'they is' should be 'they are' — subject-verb agreement, 'they' is a plural subject",short_text,linguistic
HB_EXP1_0164,linguistic_v2_register_formality_0039,No,short_text,linguistic
HB_EXP1_0165,linguistic_v2_ambiguity_resolution_0020,(1) The engineer used a computer to design the bridge; (2) The engineer designed a bridge that had a computer.,short_text,linguistic
HB_EXP1_0166,linguistic_v2_grammar_correction_0047,"'are' should be 'is' — the subject of the sentence is 'the painting', which is singular, so the verb should agree with it in number.",short_text,linguistic
HB_EXP1_0167,linguistic_v2_register_formality_0033,I'm super happy to announce my neighbor's upcoming birthday party!,short_text,linguistic
HB_EXP1_0168,linguistic_v2_ambiguity_resolution_0027,The journalist interviewed the politician using a microphone.,short_text,linguistic
HB_EXP1_0169,linguistic_v2_grammar_correction_0045,'are' should be 'is' — the subject is singular,short_text,linguistic
HB_EXP1_0170,linguistic_v2_register_formality_0033,I'm really happy to announce my coworker's upcoming promotion!,short_text,linguistic
HB_EXP1_0171,linguistic_v2_ambiguity_resolution_0025,(1) The boy waved at the girl while holding a book; (2) The boy waved at the girl who had a book.,short_text,linguistic
HB_EXP1_0172,linguistic_v2_grammar_correction_0042,Should use the simple future tense 'will be' instead of the future perfect 'will have been' — 'by the time it launches its new product' indicates a future time,short_text,linguistic
HB_EXP1_0173,linguistic_v2_register_formality_0035,No,short_text,linguistic
HB_EXP1_0174,linguistic_v2_ambiguity_resolution_0025,(1) The visitor was led around the museum by a guide; (2) The visitor was shown the guide (a person) around the museum (less likely).,short_text,linguistic
HB_EXP1_0175,linguistic_v2_grammar_correction_0049,"'it's' should be 'its' — 'its' shows possession, 'it's' is a contraction of 'it is'",short_text,linguistic
HB_EXP1_0176,linguistic_v2_register_formality_0033,I'm really stoked to announce my friend's upcoming graduation!,short_text,linguistic
HB_EXP1_0177,linguistic_v2_ambiguity_resolution_0028,(1) The revised policy is having an impact on the staff members who are under 30 years old; (2) The revised policy is affecting the staff members in a way that is under 30 (less likely),short_text,linguistic
HB_EXP1_0178,linguistic_v2_grammar_correction_0047,"'are' should be 'is' — 'designer' is the singular subject, 'whom the art director hired' is a non-restrictive clause",short_text,linguistic
HB_EXP1_0179,linguistic_v2_register_formality_0033,Thanks for being there for me.,short_text,linguistic
HB_EXP1_0180,linguistic_v2_ambiguity_resolution_0027,(1) The instructor is helping the students with their English essays; (2) The instructor is guiding the students who have English essays (less likely),short_text,linguistic
HB_EXP1_0181,linguistic_v2_grammar_correction_0019,'team' is a singular noun and 'are' should be 'is',short_text,linguistic
HB_EXP1_0182,linguistic_v2_register_formality_0039,Could you please provide me with the information?,short_text,linguistic
HB_EXP1_0183,linguistic_v2_ambiguity_resolution_0020,(1) The chef used a knife to cook the vegetables; (2) The chef cooked vegetables that had a knife nearby.,short_text,linguistic
HB_EXP1_0184,linguistic_v2_grammar_correction_0044,"'they're' should be 'their' — 'they're' is a contraction of 'they are', whereas 'their' is the possessive form of 'they'",short_text,linguistic
HB_EXP1_0185,linguistic_v2_register_formality_0035,Could you please contact me at your earliest opportunity?,short_text,linguistic
HB_EXP1_0186,linguistic_v2_ambiguity_resolution_0022,(1) He's searching for a marker that he can use to color with; (2) He's looking for a marker with which to color (formal or old-fashioned usage),short_text,linguistic
HB_EXP1_0187,linguistic_v2_grammar_correction_0048,Should use the simple future tense 'will be' instead of the future perfect 'will have been' — 'by the time' indicates a future time,short_text,linguistic
HB_EXP1_0188,linguistic_v2_register_formality_0033,"Thanks for your guidance, it really helped.",short_text,linguistic
HB_EXP1_0189,linguistic_v2_ambiguity_resolution_0025,(1) The dad called the boy while the boy was holding a ball; (2) The dad called the boy who had a ball.,short_text,linguistic
HB_EXP1_0190,linguistic_v2_grammar_correction_0048,"'give' should be 'gives' — the verb tense in the sentence is in the present simple tense, so the verb 'give' should be in the present tense 'gives'.",short_text,linguistic
HB_EXP1_0191,linguistic_v2_register_formality_0035,Could you please respond when it is convenient for you?,short_text,linguistic
HB_EXP1_0192,linguistic_v2_ambiguity_resolution_0024,The student is in the class that has a teacher.,short_text,linguistic
HB_EXP1_0193,logical_v2_conditional_reasoning_0014,Not necessarily,short_text,logical
HB_EXP1_0194,logical_v2_proof_evaluation_0040,"The conclusion is actually correct, there is no error in this statement as all amphibians undergo metamorphosis.",short_text,logical
HB_EXP1_0195,logical_v2_propositional_logic_0018,Yes,short_text,logical
HB_EXP1_0196,logical_v2_set_relations_0024,Yes,short_text,logical
HB_EXP1_0197,logical_v2_proof_evaluation_0042,Having a cooking certification does not necessarily mean someone can cook — they may have never cooked before.,short_text,logical
HB_EXP1_0198,logical_v2_propositional_logic_0018,Yes,short_text,logical
HB_EXP1_0199,logical_v2_set_relations_0024,Yes,short_text,logical
HB_EXP1_0200,logical_v2_proof_evaluation_0042,"Nothing, the conclusion is correct based on the premise.",short_text,logical
HB_EXP1_0201,logical_v2_propositional_logic_0013,Yes,short_text,logical
HB_EXP1_0202,logical_v2_set_relations_0024,Yes,short_text,logical
HB_EXP1_0203,logical_v2_proof_evaluation_0046,"The conclusion logically follows from the premise, but the premise assumes that all planets in our solar system have moons, which may not be true (e.g., Mercury and Venus do not have moons).",short_text,logical
HB_EXP1_0204,logical_v2_propositional_logic_0018,Yes,short_text,logical
HB_EXP1_0205,logical_v2_set_relations_0024,Yes,short_text,logical
HB_EXP1_0206,logical_v2_proof_evaluation_0046,"The premise is actually correct, but the conclusion is correct too, the problem is with the example: 10 is indeed even, but the conclusion is not wrong, the mistake is in the example, 10 is not the best example to test this premise.",short_text,logical
HB_EXP1_0207,logical_v2_propositional_logic_0018,Yes,short_text,logical
HB_EXP1_0208,logical_v2_set_relations_0024,Yes,short_text,logical
HB_EXP1_0209,logical_v2_proof_evaluation_0047,"The premise is correct, but the second premise is incorrect as bridges are not buildings.",short_text,logical
HB_EXP1_0210,logical_v2_propositional_logic_0013,Yes,short_text,logical
HB_EXP1_0211,logical_v2_set_relations_0024,Yes,short_text,logical
HB_EXP1_0212,logical_v2_proof_evaluation_0040,Not all birds fly — penguins are birds that do not fly.,short_text,logical
HB_EXP1_0213,logical_v2_propositional_logic_0013,Yes,short_text,logical
HB_EXP1_0214,logical_v2_set_relations_0024,Yes,short_text,logical
HB_EXP1_0215,logical_v2_proof_evaluation_0047,"The conclusion is correct, but the premise does not necessarily imply the conclusion, there could be other reasons why someone cannot buy liquor.",short_text,logical
HB_EXP1_0216,logical_v2_propositional_logic_0013,Yes,short_text,logical
HB_EXP1_0217,logical_v2_set_relations_0024,Yes,short_text,logical
HB_EXP1_0218,logical_v2_proof_evaluation_0041,"The premise is incorrect, as not all planets in our solar system have rings (e.g., Earth).",short_text,logical
HB_EXP1_0219,logical_v2_propositional_logic_0013,Yes,short_text,logical
HB_EXP1_0220,logical_v2_set_relations_0024,Yes,short_text,logical
HB_EXP1_0221,logical_v2_proof_evaluation_0043,Not all countries in Asia use the Japanese Yen — South Korea uses the South Korean Won.,short_text,logical
HB_EXP1_0222,logical_v2_propositional_logic_0013,Yes,short_text,logical
HB_EXP1_0223,logical_v2_proof_evaluation_0047,"The conclusion is correct, but the premise does not necessarily imply the conclusion, there could be other reasons why someone does not get a senior discount.",short_text,logical
HB_EXP1_0224,logical_v2_propositional_logic_0018,Yes,short_text,logical
HB_EXP1_0225,logical_v2_proof_evaluation_0044,"The premise is correct, but the first part of the second premise is incorrect as bikes are not cars.",short_text,logical
HB_EXP1_0226,logical_v2_propositional_logic_0013,Yes,short_text,logical
HB_EXP1_0227,logical_v2_proof_evaluation_0049,"Not all triangles have four sides — by definition, a triangle has three sides.",short_text,logical
HB_EXP1_0228,logical_v2_propositional_logic_0018,Yes,short_text,logical
HB_EXP1_0229,logical_v2_proof_evaluation_0047,"The conclusion is correct, but the premise does not necessarily imply the conclusion, there could be other reasons why someone cannot join a gym.",short_text,logical
HB_EXP1_0230,logical_v2_propositional_logic_0013,Yes,short_text,logical
HB_EXP1_0231,logical_v2_proof_evaluation_0040,Nothing is wrong with this conclusion.,short_text,logical
HB_EXP1_0232,logical_v2_propositional_logic_0013,Yes,short_text,logical
HB_EXP1_0233,logical_v2_proof_evaluation_0049,"Not all trapezoids have seven sides — by definition, a trapezoid has four sides.",short_text,logical
HB_EXP1_0234,logical_v2_propositional_logic_0018,Yes,short_text,logical
HB_EXP1_0235,logical_v2_proof_evaluation_0042,"Nothing, the conclusion is correct based on the premise.",short_text,logical
HB_EXP1_0236,logical_v2_propositional_logic_0013,Yes,short_text,logical
HB_EXP1_0237,logical_v2_proof_evaluation_0044,Not all dogs have tails — some dogs may be born without or lose their tails due to injury or illness.,short_text,logical
HB_EXP1_0238,logical_v2_propositional_logic_0013,Yes,short_text,logical
HB_EXP1_0239,logical_v2_proof_evaluation_0042,Having a pilot's license does not necessarily mean someone can fly — they may have never flown before.,short_text,logical
HB_EXP1_0240,logical_v2_propositional_logic_0018,Yes,short_text,logical
HB_EXP1_0241,logical_v2_proof_evaluation_0049,"The premise is correct, but the conclusion is incorrect as it contradicts the premise that cats are animals.",short_text,logical
HB_EXP1_0242,logical_v2_propositional_logic_0013,Yes,short_text,logical
HB_EXP1_0243,logical_v2_proof_evaluation_0040,Nothing is wrong with this conclusion.,short_text,logical
HB_EXP1_0244,logical_v2_propositional_logic_0018,Yes,short_text,logical
HB_EXP1_0245,logical_v2_proof_evaluation_0044,"Not all cars have four wheels — some cars, like concept cars or experimental vehicles, may have a different number of wheels.",short_text,logical
HB_EXP1_0246,logical_v2_propositional_logic_0018,Yes,short_text,logical
HB_EXP1_0247,logical_v2_proof_evaluation_0043,Not all cities in Australia use the Australian dollar is not the issue; the issue is that the premise is not incorrect in this case. The issue is with the original question.,short_text,logical
HB_EXP1_0248,logical_v2_propositional_logic_0013,Yes,short_text,logical
HB_EXP1_0249,logical_v2_proof_evaluation_0040,"The conclusion is actually correct, but there is a counterexample among mammals: platypus and echidna are mammals that lay eggs.",short_text,logical
HB_EXP1_0250,logical_v2_propositional_logic_0018,Yes,short_text,logical
HB_EXP1_0251,logical_v2_proof_evaluation_0046,"The conclusion logically follows from the premise, but the premise assumes that all prime numbers are odd, which may not be true (e.g., 2 is a prime number and is even).",short_text,logical
HB_EXP1_0252,logical_v2_propositional_logic_0018,Yes,short_text,logical
HB_EXP1_0253,logical_v2_proof_evaluation_0043,Not all countries in Europe use the Euro — the UK uses the Pound Sterling.,short_text,logical
HB_EXP1_0254,logical_v2_propositional_logic_0018,Yes,short_text,logical
HB_EXP1_0255,logical_v2_proof_evaluation_0047,"The premise is correct, but the second premise is incorrect as paintings are not vehicles.",short_text,logical
HB_EXP1_0256,logical_v2_propositional_logic_0018,Yes,short_text,logical
HB_EXP1_0257,procedural_v2_algorithm_execution_0004,[4],short_text,procedural
HB_EXP1_0258,procedural_v2_error_recovery_0042,"Initiate an immediate shutdown of all critical systems to prevent data loss and damage, then activate the backup generators to restore power.",short_text,procedural
HB_EXP1_0259,procedural_v2_multistep_planning_0030,Use a secure copy (SCP) command with a larger SSH timeout,short_text,procedural
HB_EXP1_0260,procedural_v2_protocol_compliance_0025,"Isolate the affected cloud storage service, contain the unauthorized access attempt, and initiate the incident response procedure to mitigate and eradicate the threat.",short_text,procedural
HB_EXP1_0261,procedural_v2_recipe_following_0013,"Increase the amount of milk slightly, as the egg helps to bind the ingredients together.",short_text,procedural
HB_EXP1_0262,procedural_v2_algorithm_execution_0001,"[1, 8, 3, 4] and [6, 2, 5]",short_text,procedural
HB_EXP1_0263,procedural_v2_error_recovery_0046,"Immediately halt production, inspect and isolate all potentially substandard fabrics, and implement a manual quality assurance process until the system is repaired.",short_text,procedural
