item_id,question_id,domain,subcategory,difficulty,empirical_hardness,empirical_hardness_obs,empirical_accuracy,answer_type,question_text
HB_EXP1_0024,arithmetic_v2_numerical_reasoning_0045,arithmetic,numerical_reasoning,,1.0,10,0.0,short_text,"Compare the values of 1/4, 0.25, and 25%."
HB_EXP1_0025,arithmetic_v2_unit_conversion_0035,arithmetic,unit_conversion,,1.0,5,0.0,exact_numeric,"If you have 1200 grams of pasta, how many kilograms is that?"
HB_EXP1_0026,arithmetic_v2_estimation_0025,arithmetic,estimation,,1.0,5,0.0,short_text,"If a class of students want to share some pencils equally, and they have 72 pencils, about how many pencils will each student get if there are 12 students?"
HB_EXP1_0027,arithmetic_v2_numerical_reasoning_0016,arithmetic,numerical_reasoning,,1.0,12,0.0,short_text,"Which is the smallest: 0.25, 1/4, or 2/8?"
HB_EXP1_0028,arithmetic_v2_unit_conversion_0035,arithmetic,unit_conversion,,1.0,5,0.0,exact_numeric,"If you have 800 grams of rice, how many kilograms is that?"
HB_EXP1_0029,arithmetic_v2_estimation_0020,arithmetic,estimation,,1.0,12,0.0,short_text,About how many seconds are in 4 minutes?
HB_EXP1_0030,arithmetic_v2_numerical_reasoning_0045,arithmetic,numerical_reasoning,,1.0,10,0.0,short_text,"Compare the values of 1/2, 0.4, and 50%."
HB_EXP1_0031,arithmetic_v2_unit_conversion_0035,arithmetic,unit_conversion,,1.0,5,0.0,exact_numeric,"If you have 750 grams of flour, how many kilograms is that?"
HB_EXP1_0032,arithmetic_v2_estimation_0020,arithmetic,estimation,,1.0,12,0.0,short_text,About how many seconds are in 10 minutes?
HB_EXP1_0033,arithmetic_v2_numerical_reasoning_0018,arithmetic,numerical_reasoning,,1.0,11,0.0,short_text,"Compare the decimals: 0.2, 0.3, and 20%"
HB_EXP1_0034,arithmetic_v2_unit_conversion_0031,arithmetic,unit_conversion,,0.8461538461538461,13,0.15384615384615385,exact_numeric,A toy car weighs 150 grams. How many kilograms is that?
HB_EXP1_0035,arithmetic_v2_estimation_0022,arithmetic,estimation,,1.0,4,0.0,short_text,About how many hours are in 12 hours plus 12 hours?
HB_EXP1_0036,arithmetic_v2_numerical_reasoning_0049,arithmetic,numerical_reasoning,,1.0,11,0.0,short_text,"Compare the values of 0.2, 1/5, and 20%."
HB_EXP1_0037,arithmetic_v2_unit_conversion_0031,arithmetic,unit_conversion,,0.8461538461538461,13,0.15384615384615385,exact_numeric,A small rock weighs 125 grams. How many kilograms is that?
HB_EXP1_0038,arithmetic_v2_estimation_0025,arithmetic,estimation,,1.0,5,0.0,short_text,"If a group of volunteers want to share some stickers equally, and they have 36 stickers, about how many stickers will each volunteer get if there are 6 volunteers?"
HB_EXP1_0039,arithmetic_v2_numerical_reasoning_0017,arithmetic,numerical_reasoning,,0.8461538461538461,13,0.15384615384615385,short_text,"Rank the following fractions from largest to smallest: 1/2, 1/4, 1/6"
HB_EXP1_0040,arithmetic_v2_unit_conversion_0031,arithmetic,unit_conversion,,0.8461538461538461,13,0.15384615384615385,exact_numeric,"If a recipe requires 50 grams of flour, how many kilograms is that?"
HB_EXP1_0041,arithmetic_v2_estimation_0025,arithmetic,estimation,,1.0,5,0.0,short_text,How many months are in 2 years?
HB_EXP1_0042,arithmetic_v2_numerical_reasoning_0043,arithmetic,numerical_reasoning,,0.8,5,0.2,short_text,"Which is greatest: 45%, 9/20, or 0.45?"
HB_EXP1_0043,arithmetic_v2_unit_conversion_0031,arithmetic,unit_conversion,,0.8461538461538461,13,0.15384615384615385,exact_numeric,A book weighs 150 grams. How many kilograms is that?
HB_EXP1_0044,arithmetic_v2_estimation_0020,arithmetic,estimation,,1.0,12,0.0,short_text,About how many days are in 2 weeks?
HB_EXP1_0045,arithmetic_v2_numerical_reasoning_0043,arithmetic,numerical_reasoning,,0.8,5,0.2,short_text,"Which is greatest: 30%, 3/10, or 0.3?"
HB_EXP1_0046,arithmetic_v2_unit_conversion_0031,arithmetic,unit_conversion,,0.8461538461538461,13,0.15384615384615385,exact_numeric,"If a toy car weighs 20 grams, how many kilograms is that?"
HB_EXP1_0047,arithmetic_v2_estimation_0025,arithmetic,estimation,,1.0,5,0.0,short_text,"If a team of athletes want to share some energy bars equally, and they have 24 energy bars, about how many energy bars will each athlete get if there are 4 athletes?"
HB_EXP1_0048,arithmetic_v2_numerical_reasoning_0043,arithmetic,numerical_reasoning,,0.8,5,0.2,short_text,"Which is greatest: 60%, 3/5, or 0.6?"
HB_EXP1_0049,arithmetic_v2_unit_conversion_0031,arithmetic,unit_conversion,,0.8461538461538461,13,0.15384615384615385,exact_numeric,"If a recipe calls for 250 grams of flour, how many kilograms is that?"
HB_EXP1_0050,arithmetic_v2_estimation_0022,arithmetic,estimation,,1.0,4,0.0,short_text,About how many hours are in a 6-day road trip?
HB_EXP1_0051,arithmetic_v2_numerical_reasoning_0043,arithmetic,numerical_reasoning,,0.8,5,0.2,short_text,Which is larger: 0.2 or 20%?
HB_EXP1_0052,arithmetic_v2_unit_conversion_0031,arithmetic,unit_conversion,,0.8461538461538461,13,0.15384615384615385,exact_numeric,A small bag of sugar contains 200 grams of sugar. How many kilograms is that?
HB_EXP1_0053,arithmetic_v2_estimation_0020,arithmetic,estimation,,1.0,12,0.0,short_text,About how many seconds are in 8 minutes?
HB_EXP1_0054,arithmetic_v2_numerical_reasoning_0043,arithmetic,numerical_reasoning,,0.8,5,0.2,short_text,"Which is greatest: 24%, 6/25, or 0.24?"
HB_EXP1_0055,arithmetic_v2_unit_conversion_0031,arithmetic,unit_conversion,,0.8461538461538461,13,0.15384615384615385,exact_numeric,A pencil weighs 10 grams. How many kilograms is that?
HB_EXP1_0056,arithmetic_v2_estimation_0022,arithmetic,estimation,,1.0,4,0.0,short_text,About how many hours are in a 4-day weekend?
HB_EXP1_0057,arithmetic_v2_numerical_reasoning_0043,arithmetic,numerical_reasoning,,0.8,5,0.2,short_text,Is 25% greater than 0.25?
HB_EXP1_0058,arithmetic_v2_unit_conversion_0031,arithmetic,unit_conversion,,0.8461538461538461,13,0.15384615384615385,exact_numeric,"If a book weighs 375 grams, how many kilograms is that?"
HB_EXP1_0059,arithmetic_v2_estimation_0020,arithmetic,estimation,,1.0,12,0.0,short_text,About how many seconds are in 10 minutes?
HB_EXP1_0060,arithmetic_v2_numerical_reasoning_0043,arithmetic,numerical_reasoning,,0.8,5,0.2,short_text,"Which is greatest: 72%, 18/25, or 0.72?"
HB_EXP1_0061,arithmetic_v2_unit_conversion_0031,arithmetic,unit_conversion,,0.8461538461538461,13,0.15384615384615385,exact_numeric,A water bottle can hold 500 grams of water. How many kilograms is that?
HB_EXP1_0062,arithmetic_v2_estimation_0020,arithmetic,estimation,,1.0,12,0.0,short_text,About how many seconds are in 2 minutes?
HB_EXP1_0063,arithmetic_v2_numerical_reasoning_0043,arithmetic,numerical_reasoning,,0.8,5,0.2,short_text,Is 0.1 greater than 10%?
HB_EXP1_0064,arithmetic_v2_unit_conversion_0012,arithmetic,unit_conversion,,0.8333333333333334,12,0.16666666666666666,exact_numeric,How many centimeters are in 1 meter?
HB_EXP1_0065,factual_v2_cross_domain_trivia_0017,factual,cross_domain_trivia,,1.0,13,0.0,short_text,What architectural feature allows rainwater to drain from a roof?
HB_EXP1_0066,factual_v2_geography_0007,factual,geography,,0.7692307692307692,13,0.23076923076923078,short_text,Which desert is the largest in Africa?
HB_EXP1_0067,factual_v2_history_0008,factual,history,,0.8333333333333334,12,0.16666666666666666,short_text,Who built the Great Library of Alexandria?
HB_EXP1_0068,factual_v2_science_0013,factual,science,,0.7692307692307692,13,0.23076923076923078,short_text,What is the scientific term for the study of the Earth's composition?
HB_EXP1_0069,factual_v2_cross_domain_trivia_0041,factual,cross_domain_trivia,,0.8461538461538461,13,0.15384615384615385,short_text,Which chemical element shares its name with a well-known heavy metal band?
HB_EXP1_0070,factual_v2_geography_0007,factual,geography,,0.7692307692307692,13,0.23076923076923078,short_text,What is the world's largest mountain range by length?
HB_EXP1_0071,factual_v2_history_0023,factual,history,,0.7692307692307692,13,0.23076923076923078,short_text,When did the construction of the Hanging Gardens of Babylon begin?
HB_EXP1_0072,factual_v2_science_0013,factual,science,,0.7692307692307692,13,0.23076923076923078,short_text,What is the scientific term for the study of the structure of the ocean floor?
HB_EXP1_0073,factual_v2_cross_domain_trivia_0041,factual,cross_domain_trivia,,0.8461538461538461,13,0.15384615384615385,short_text,Which planet discovered by William Herschel is also known as a gas giant?
HB_EXP1_0074,factual_v2_geography_0007,factual,geography,,0.7692307692307692,13,0.23076923076923078,short_text,What is the world's largest island by population?
HB_EXP1_0075,factual_v2_history_0023,factual,history,,0.7692307692307692,13,0.23076923076923078,short_text,What treaty is associated with the end of World War I?
HB_EXP1_0076,factual_v2_science_0013,factual,science,,0.7692307692307692,13,0.23076923076923078,short_text,What is the scientific term for the study of the Earth's landforms?
HB_EXP1_0077,factual_v2_cross_domain_trivia_0041,factual,cross_domain_trivia,,0.8461538461538461,13,0.15384615384615385,short_text,"Who discovered the planet Uranus, and what is its classification in our solar system?"
HB_EXP1_0078,factual_v2_geography_0007,factual,geography,,0.7692307692307692,13,0.23076923076923078,short_text,Which mountain range is the longest in North America?
HB_EXP1_0079,factual_v2_history_0023,factual,history,,0.7692307692307692,13,0.23076923076923078,short_text,What treaty ended World War I?
HB_EXP1_0080,factual_v2_science_0013,factual,science,,0.7692307692307692,13,0.23076923076923078,short_text,"What is the speed of light in a vacuum, in hundreds of thousands of kilometers per second?"
HB_EXP1_0081,factual_v2_cross_domain_trivia_0041,factual,cross_domain_trivia,,0.8461538461538461,13,0.15384615384615385,short_text,What is the largest planet in our solar system?
HB_EXP1_0082,factual_v2_geography_0007,factual,geography,,0.7692307692307692,13,0.23076923076923078,short_text,What is the world's largest waterfall by volume?
HB_EXP1_0083,factual_v2_history_0023,factual,history,,0.7692307692307692,13,0.23076923076923078,short_text,What is the name of the famous treaty signed after World War I?
HB_EXP1_0084,factual_v2_science_0013,factual,science,,0.7692307692307692,13,0.23076923076923078,short_text,What is the approximate speed of light in kilometers per second?
HB_EXP1_0085,factual_v2_cross_domain_trivia_0041,factual,cross_domain_trivia,,0.8461538461538461,13,0.15384615384615385,short_text,What chemical element is also the name of a popular rock band?
HB_EXP1_0086,factual_v2_geography_0007,factual,geography,,0.7692307692307692,13,0.23076923076923078,short_text,What is the world's largest ocean by volume?
HB_EXP1_0087,factual_v2_history_0023,factual,history,,0.7692307692307692,13,0.23076923076923078,short_text,When did the construction of the Statue of Zeus at Olympia begin?
HB_EXP1_0088,factual_v2_science_0013,factual,science,,0.7692307692307692,13,0.23076923076923078,short_text,What is the scientific term for the study of the structure of the ocean floor?
HB_EXP1_0089,factual_v2_cross_domain_trivia_0041,factual,cross_domain_trivia,,0.8461538461538461,13,0.15384615384615385,short_text,What chemical element is also the name of a heavy metal band formed in the 1960s?
HB_EXP1_0090,factual_v2_geography_0007,factual,geography,,0.7692307692307692,13,0.23076923076923078,short_text,Which strait is the longest in Southeast Asia?
HB_EXP1_0091,factual_v2_history_0023,factual,history,,0.7692307692307692,13,0.23076923076923078,short_text,In what year did the construction of the Great Wall of China start?
HB_EXP1_0092,factual_v2_science_0013,factual,science,,0.7692307692307692,13,0.23076923076923078,short_text,The speed of light in a vacuum is approximately how many hundred thousand kilometers per second?
HB_EXP1_0093,factual_v2_cross_domain_trivia_0041,factual,cross_domain_trivia,,0.8461538461538461,13,0.15384615384615385,short_text,Which heavy metal band shares its name with a chemical element found in the Earth's core?
HB_EXP1_0094,factual_v2_geography_0007,factual,geography,,0.7692307692307692,13,0.23076923076923078,short_text,What is the world's largest island by area?
HB_EXP1_0095,factual_v2_history_0023,factual,history,,0.7692307692307692,13,0.23076923076923078,short_text,When did the construction of the Great Wall of China begin?
HB_EXP1_0096,factual_v2_science_0013,factual,science,,0.7692307692307692,13,0.23076923076923078,short_text,What is the scientific term for the study of the structure of the Moon?
HB_EXP1_0097,factual_v2_cross_domain_trivia_0041,factual,cross_domain_trivia,,0.8461538461538461,13,0.15384615384615385,short_text,What is the name of the chemical element that is also the name of a heavy metal band?
HB_EXP1_0098,factual_v2_geography_0007,factual,geography,,0.7692307692307692,13,0.23076923076923078,short_text,What is the world's largest ocean by volume?
HB_EXP1_0099,factual_v2_history_0023,factual,history,,0.7692307692307692,13,0.23076923076923078,short_text,When did the construction of the Temple of Artemis at Ephesus begin?
HB_EXP1_0100,factual_v2_science_0013,factual,science,,0.7692307692307692,13,0.23076923076923078,short_text,What is the scientific term for the study of the Earth's physical features?
HB_EXP1_0101,factual_v2_cross_domain_trivia_0041,factual,cross_domain_trivia,,0.8461538461538461,13,0.15384615384615385,short_text,What is the name of the gas giant planet discovered in the 18th century?
HB_EXP1_0102,factual_v2_geography_0007,factual,geography,,0.7692307692307692,13,0.23076923076923078,short_text,What is the world's largest lake by surface area?
HB_EXP1_0103,factual_v2_history_0023,factual,history,,0.7692307692307692,13,0.23076923076923078,short_text,When did the construction of the Hanging Gardens of Babylon begin?
HB_EXP1_0104,factual_v2_science_0013,factual,science,,0.7692307692307692,13,0.23076923076923078,short_text,What is the scientific term for the study of the Earth's physical features?
HB_EXP1_0105,factual_v2_cross_domain_trivia_0041,factual,cross_domain_trivia,,0.8461538461538461,13,0.15384615384615385,short_text,What chemical element is also the name of a heavy metal band?
HB_EXP1_0106,factual_v2_geography_0007,factual,geography,,0.7692307692307692,13,0.23076923076923078,short_text,What is the world's largest desert by area?
HB_EXP1_0107,factual_v2_history_0023,factual,history,,0.7692307692307692,13,0.23076923076923078,short_text,When did the construction of the Great Pyramid of Giza begin?
HB_EXP1_0108,factual_v2_science_0013,factual,science,,0.7692307692307692,13,0.23076923076923078,short_text,What is the scientific term for the study of the structure of the Earth?
HB_EXP1_0109,factual_v2_cross_domain_trivia_0042,factual,cross_domain_trivia,,0.6,5,0.4,short_text,Which ancient city was the capital of the Babylonian Empire and is now a UNESCO World Heritage site?
HB_EXP1_0110,factual_v2_geography_0007,factual,geography,,0.7692307692307692,13,0.23076923076923078,short_text,What is the world's largest coral reef system by area?
HB_EXP1_0111,factual_v2_history_0023,factual,history,,0.7692307692307692,13,0.23076923076923078,short_text,When did the construction of the Statue of Zeus at Olympia begin?
HB_EXP1_0112,factual_v2_science_0013,factual,science,,0.7692307692307692,13,0.23076923076923078,short_text,What is the scientific term for the study of the Earth's composition?
HB_EXP1_0113,factual_v2_cross_domain_trivia_0042,factual,cross_domain_trivia,,0.6,5,0.4,short_text,What ancient city was the capital of the Khmer Empire and is now a UNESCO World Heritage site?
HB_EXP1_0114,factual_v2_geography_0007,factual,geography,,0.7692307692307692,13,0.23076923076923078,short_text,What is the world's largest mountain range by length?
HB_EXP1_0115,factual_v2_history_0023,factual,history,,0.7692307692307692,13,0.23076923076923078,short_text,What was the name of the treaty that ended World War I?
HB_EXP1_0116,factual_v2_science_0013,factual,science,,0.7692307692307692,13,0.23076923076923078,short_text,"Is the speed of light in a vacuum approximately 200,000 or 300,000 kilometers per second?"
HB_EXP1_0117,factual_v2_cross_domain_trivia_0042,factual,cross_domain_trivia,,0.6,5,0.4,short_text,Which poet was married to Mary Shelley?
HB_EXP1_0118,factual_v2_geography_0007,factual,geography,,0.7692307692307692,13,0.23076923076923078,short_text,What is the world's largest rainforest by area?
HB_EXP1_0119,factual_v2_history_0023,factual,history,,0.7692307692307692,13,0.23076923076923078,short_text,When did the construction of the Mausoleum at Halicarnassus begin?
HB_EXP1_0120,factual_v2_science_0013,factual,science,,0.7692307692307692,13,0.23076923076923078,short_text,What is the scientific term for the study of the Earth's internal structure?
HB_EXP1_0121,factual_v2_cross_domain_trivia_0042,factual,cross_domain_trivia,,0.6,5,0.4,short_text,Mary Shelley's husband was a famous poet. What was his name?
HB_EXP1_0122,factual_v2_geography_0004,factual,geography,,0.6,5,0.4,short_text,Which lake has the longest shoreline in North America?
HB_EXP1_0123,factual_v2_history_0023,factual,history,,0.7692307692307692,13,0.23076923076923078,short_text,When did the construction of the Temple of Artemis at Ephesus begin?
HB_EXP1_0124,factual_v2_science_0013,factual,science,,0.7692307692307692,13,0.23076923076923078,short_text,What is the scientific term for the study of the structure of Mars?
HB_EXP1_0125,factual_v2_cross_domain_trivia_0042,factual,cross_domain_trivia,,0.6,5,0.4,short_text,"Mary Shelley, the author of 'Frankenstein', was married to which poet?"
HB_EXP1_0126,factual_v2_geography_0004,factual,geography,,0.6,5,0.4,short_text,Which region has the longest coastline in Europe?
HB_EXP1_0127,factual_v2_history_0023,factual,history,,0.7692307692307692,13,0.23076923076923078,short_text,When did the construction of the Mausoleum at Halicarnassus begin?
HB_EXP1_0128,factual_v2_science_0012,factual,science,,0.6153846153846154,13,0.38461538461538464,short_text,What is the basic building block of a chemical element?
HB_EXP1_0129,linguistic_v2_ambiguity_resolution_0024,linguistic,ambiguity_resolution,,1.0,6,0.0,short_text,Provide two distinct interpretations of the sentence: 'The supervisor is speaking with the workers who are on the night shift.'
HB_EXP1_0130,linguistic_v2_grammar_correction_0047,linguistic,grammar_correction,,1.0,5,0.0,short_text,"What is the grammatical error in: 'The new researcher, who the professor supervised last semester, are very knowledgeable.'"
HB_EXP1_0131,linguistic_v2_register_formality_0031,linguistic,register_formality,,1.0,5,0.0,short_text,Why was the new policy introduced?
HB_EXP1_0132,linguistic_v2_ambiguity_resolution_0025,linguistic,ambiguity_resolution,,1.0,4,0.0,short_text,Give two interpretations of: 'The mom spoke to the child with a hat.'
HB_EXP1_0133,linguistic_v2_grammar_correction_0044,linguistic,grammar_correction,,1.0,5,0.0,short_text,Identify the grammatical error in: 'The new policy affects all employees whom are working on the project.'
HB_EXP1_0134,linguistic_v2_register_formality_0015,linguistic,register_formality,,1.0,8,0.0,short_text,Can you hand me the salt?
HB_EXP1_0135,linguistic_v2_ambiguity_resolution_0025,linguistic,ambiguity_resolution,,1.0,4,0.0,short_text,Give two interpretations of: 'The teacher called the student with a smile.'
HB_EXP1_0136,linguistic_v2_grammar_correction_0044,linguistic,grammar_correction,,1.0,5,0.0,short_text,Identify the grammatical error in: 'The new regulation impacts all students whom are taking the course.'
HB_EXP1_0137,linguistic_v2_register_formality_0031,linguistic,register_formality,,1.0,5,0.0,short_text,"Rewrite in formal register: 'Good luck with your exam, Sarah!'"
HB_EXP1_0138,linguistic_v2_ambiguity_resolution_0020,linguistic,ambiguity_resolution,,1.0,5,0.0,short_text,Provide two distinct interpretations of the sentence: 'The detective questioned the witness with a microphone.'
HB_EXP1_0139,linguistic_v2_grammar_correction_0046,linguistic,grammar_correction,,1.0,5,0.0,short_text,"Identify the grammatical error in: 'If I were her, I wouldn't attend that concert.'"
HB_EXP1_0140,linguistic_v2_register_formality_0033,linguistic,register_formality,,1.0,5,0.0,short_text,Rewrite in informal register: 'I would like to acknowledge your contribution to our team's success.'
HB_EXP1_0141,linguistic_v2_ambiguity_resolution_0020,linguistic,ambiguity_resolution,,1.0,5,0.0,short_text,What are two possible meanings of the sentence: 'The dog bit the man with a stick.'
HB_EXP1_0142,linguistic_v2_grammar_correction_0047,linguistic,grammar_correction,,1.0,5,0.0,short_text,"What is the grammatical error in: 'The new intern, whom the CEO recruited last month, are very skilled.'"
HB_EXP1_0143,linguistic_v2_register_formality_0035,linguistic,register_formality,,1.0,5,0.0,short_text,Rewrite in formal register: 'Can you drop me a line when you're free to talk?'
HB_EXP1_0144,linguistic_v2_ambiguity_resolution_0028,linguistic,ambiguity_resolution,,1.0,5,0.0,short_text,Provide two interpretations of: 'The new curriculum is impacting the students who are in their final year.'
HB_EXP1_0145,linguistic_v2_grammar_correction_0040,linguistic,grammar_correction,,1.0,4,0.0,short_text,"Identify the grammatical error in: 'The new student, along with the rest of the class, are presenting the project.'"
HB_EXP1_0146,linguistic_v2_register_formality_0039,linguistic,register_formality,,1.0,5,0.0,short_text,"Rewrite in formal register: 'What's the haps, dude?'"
HB_EXP1_0147,linguistic_v2_ambiguity_resolution_0024,linguistic,ambiguity_resolution,,1.0,6,0.0,short_text,Which reading of the sentence 'The book is on the shelf with the empty space' is more natural given the context that the book is describing its location?
HB_EXP1_0148,linguistic_v2_grammar_correction_0044,linguistic,grammar_correction,,1.0,5,0.0,short_text,Identify the grammatical error in: 'The company will reward all staff who are working on the Smith account whom have exceeded their targets.'
HB_EXP1_0149,linguistic_v2_register_formality_0031,linguistic,register_formality,,1.0,5,0.0,short_text,"Rewrite in formal register: 'You'll do great, John!'"
HB_EXP1_0150,linguistic_v2_ambiguity_resolution_0020,linguistic,ambiguity_resolution,,1.0,5,0.0,short_text,What are two possible meanings of the sentence: 'The teacher gave the student a book with a pen.'
HB_EXP1_0151,linguistic_v2_grammar_correction_0047,linguistic,grammar_correction,,1.0,5,0.0,short_text,"What is the grammatical error in: 'The new analyst, who the team leader trained last quarter, are very efficient.'"
HB_EXP1_0152,linguistic_v2_register_formality_0039,linguistic,register_formality,,1.0,5,0.0,short_text,"What's good, bro?"
HB_EXP1_0153,linguistic_v2_ambiguity_resolution_0020,linguistic,ambiguity_resolution,,1.0,5,0.0,short_text,Provide two distinct interpretations of the sentence: 'The firefighter rescued the child from a ladder.'
HB_EXP1_0154,linguistic_v2_grammar_correction_0049,linguistic,grammar_correction,,1.0,5,0.0,short_text,What is the grammatical error in: 'The hotel's promise is to provide it's guests with a comfortable stay.'
HB_EXP1_0155,linguistic_v2_register_formality_0035,linguistic,register_formality,,1.0,5,0.0,short_text,Is saying 'I'm gonna grab a snack' formal?
HB_EXP1_0156,linguistic_v2_ambiguity_resolution_0024,linguistic,ambiguity_resolution,,1.0,6,0.0,short_text,Provide two distinct interpretations of the sentence: 'The director is meeting with the actors who are on the picket line.'
HB_EXP1_0157,linguistic_v2_grammar_correction_0045,linguistic,grammar_correction,,1.0,5,0.0,short_text,"Identify the error in: 'The manager, along with the staff, are responsible.'"
HB_EXP1_0158,linguistic_v2_register_formality_0035,linguistic,register_formality,,1.0,5,0.0,short_text,Rewrite in formal register: 'Can you ring me back when you have a moment?'
HB_EXP1_0159,linguistic_v2_ambiguity_resolution_0024,linguistic,ambiguity_resolution,,1.0,6,0.0,short_text,Provide two distinct interpretations of the sentence: 'The principal is speaking with the parents who are on the school board.'
HB_EXP1_0160,linguistic_v2_grammar_correction_0048,linguistic,grammar_correction,,1.0,4,0.0,short_text,"Identify the grammatical error in: 'By next year, they will have been living in Paris for two years.'"
HB_EXP1_0161,linguistic_v2_register_formality_0012,linguistic,register_formality,,1.0,9,0.0,short_text,Want to come to the party?
HB_EXP1_0162,linguistic_v2_ambiguity_resolution_0022,linguistic,ambiguity_resolution,,1.0,5,0.0,short_text,Give two interpretations of: 'I'm looking for a pen to write with.'
HB_EXP1_0163,linguistic_v2_grammar_correction_0045,linguistic,grammar_correction,,1.0,5,0.0,short_text,"What is the grammatical error in: 'The university has accepted thousands of applicants, but the dean says they is still admitting.'"
HB_EXP1_0164,linguistic_v2_register_formality_0039,linguistic,register_formality,,1.0,5,0.0,short_text,Is the phrase 'I'm really looking forward to the party' suitable for a formal legal brief?
HB_EXP1_0165,linguistic_v2_ambiguity_resolution_0020,linguistic,ambiguity_resolution,,1.0,5,0.0,short_text,Provide two distinct interpretations of the sentence: 'The engineer designed the bridge with a computer.'
HB_EXP1_0166,linguistic_v2_grammar_correction_0047,linguistic,grammar_correction,,1.0,5,0.0,short_text,"What is the grammatical error in: 'The painting, which is on the wall, are for sale.'"
HB_EXP1_0167,linguistic_v2_register_formality_0033,linguistic,register_formality,,1.0,5,0.0,short_text,Rewrite in informal register: 'I am pleased to announce the forthcoming birthday celebration of my respected neighbor.'
