request_id,final_correct,resolver_type,resolver_decision,resolved_at_utc
EV_0039,1,tool,request_more_info,2026-03-01T04:34:00Z
EV_0040,1,tool,request_more_info,2026-03-01T04:41:00Z
EV_0041,1,tool,escalate,2026-03-01T04:48:00Z
EV_0042,1,human,deny,2026-03-01T04:55:00Z
EV_0043,1,tool,approve,2026-03-01T05:02:00Z
EV_0044,1,human,escalate,2026-03-01T05:09:00Z
EV_0045,1,human,escalate,2026-03-01T05:16:00Z
EV_0046,0,tool,approve,2026-03-01T05:23:00Z
EV_0047,0,tool,approve,2026-03-01T05:30:00Z
EV_0048,0,tool,request_more_info,2026-03-01T05:37:00Z
EV_0049,1,tool,escalate,2026-03-01T05:44:00Z
EV_0050,1,human,request_more_info,2026-03-01T05:51:00Z
EV_0051,1,tool,deny,2026-03-01T05:58:00Z
EV_0052,1,human,approve,2026-03-01T06:05:00Z
EV_0053,0,human,deny,2026-03-01T06:12:00Z
EV_0054,1,tool,approve,2026-03-01T06:19:00Z
EV_0055,1,human,deny,2026-03-01T06:26:00Z
EV_0056,0,human,escalate,2026-03-01T06:33:00Z
EV_0057,1,tool,deny,2026-03-01T06:40:00Z
EV_0058,1,tool,request_more_info,2026-03-01T06:47:00Z
EV_0059,1,human,deny,2026-03-01T06:54:00Z
EV_0060,0,tool,approve,2026-03-01T07:01:00Z
EV_0061,1,tool,approve,2026-03-01T07:08:00Z
EV_0062,1,tool,approve,2026-03-01T07:15:00Z
EV_0063,1,human,escalate,2026-03-01T07:22:00Z
EV_0064,0,human,deny,2026-03-01T07:29:00Z
EV_0065,1,human,request_more_info,2026-03-01T07:36:00Z
EV_0066,1,tool,deny,2026-03-01T07:43:00Z
EV_0067,0,human,request_more_info,2026-03-01T07:50:00Z
EV_0068,1,human,deny,2026-03-01T07:57:00Z
EV_0069,1,human,escalate,2026-03-01T08:04:00Z
EV_0070,0,human,request_more_info,2026-03-01T08:11:00Z
EV_0071,1,human,escalate,2026-03-01T08:18:00Z
EV_0072,0,human,request_more_info,2026-03-01T08:25:00Z
EV_0073,1,tool,deny,2026-03-01T08:32:00Z
EV_0074,1,tool,escalate,2026-03-01T08:39:00Z
EV_0075,1,human,request_more_info,2026-03-01T08:46:00Z
EV_0076,0,human,approve,2026-03-01T08:53:00Z
EV_0077,1,human,deny,2026-03-01T09:00:00Z
EV_0078,1,human,approve,2026-03-01T09:07:00Z
EV_0079,1,human,approve,2026-03-01T09:14:00Z
EV_0080,0,human,request_more_info,2026-03-01T09:21:00Z
EV_0081,1,human,approve,2026-03-01T09:28:00Z
EV_0082,1,human,request_more_info,2026-03-01T09:35:00Z
EV_0083,1,tool,approve,2026-03-01T09:42:00Z
EV_0084,0,human,deny,2026-03-01T09:49:00Z
EV_0085,1,human,escalate,2026-03-01T09:56:00Z
EV_0086,1,human,request_more_info,2026-03-01T10:03:00Z
EV_0087,1,human,deny,2026-03-01T10:10:00Z
EV_0088,1,tool,request_more_info,2026-03-01T10:17:00Z
EV_0089,1,tool,escalate,2026-03-01T10:24:00Z
EV_0090,1,tool,escalate,2026-03-01T10:31:00Z
EV_0091,1,human,approve,2026-03-01T10:38:00Z
EV_0092,0,tool,deny,2026-03-01T10:45:00Z
EV_0093,0,human,escalate,2026-03-01T10:52:00Z
EV_0094,1,human,approve,2026-03-01T10:59:00Z
EV_0095,1,human,approve,2026-03-01T11:06:00Z
EV_0096,1,human,deny,2026-03-01T11:13:00Z
EV_0097,1,human,request_more_info,2026-03-01T11:20:00Z
EV_0098,0,tool,approve,2026-03-01T11:27:00Z
EV_0099,0,human,request_more_info,2026-03-01T11:34:00Z
EV_0100,1,tool,escalate,2026-03-01T11:41:00Z
EV_0101,1,human,escalate,2026-03-01T11:48:00Z
EV_0102,1,tool,approve,2026-03-01T11:55:00Z
EV_0103,1,tool,escalate,2026-03-01T12:02:00Z
EV_0104,0,human,approve,2026-03-01T12:09:00Z
EV_0105,0,tool,deny,2026-03-01T12:16:00Z
EV_0106,0,human,escalate,2026-03-01T12:23:00Z
EV_0107,0,human,escalate,2026-03-01T12:30:00Z
EV_0108,1,tool,approve,2026-03-01T12:37:00Z
EV_0109,1,human,request_more_info,2026-03-01T12:44:00Z
EV_0110,1,tool,approve,2026-03-01T12:51:00Z
EV_0111,1,tool,request_more_info,2026-03-01T12:58:00Z
EV_0112,1,human,request_more_info,2026-03-01T13:05:00Z
EV_0113,1,human,deny,2026-03-01T13:12:00Z
EV_0114,1,human,approve,2026-03-01T13:19:00Z
EV_0115,1,tool,deny,2026-03-01T13:26:00Z
EV_0116,0,human,escalate,2026-03-01T13:33:00Z
EV_0117,1,human,request_more_info,2026-03-01T13:40:00Z
EV_0118,0,human,request_more_info,2026-03-01T13:47:00Z
EV_0119,0,tool,escalate,2026-03-01T13:54:00Z
EV_0120,1,human,deny,2026-03-01T14:01:00Z
EV_0121,1,human,approve,2026-03-01T14:08:00Z
EV_0122,1,tool,request_more_info,2026-03-01T14:15:00Z
EV_0123,1,tool,escalate,2026-03-01T14:22:00Z
EV_0124,1,human,escalate,2026-03-01T14:29:00Z
EV_0125,0,tool,escalate,2026-03-01T14:36:00Z
EV_0126,1,human,deny,2026-03-01T14:43:00Z
EV_0127,1,tool,approve,2026-03-01T14:50:00Z
EV_0128,0,tool,request_more_info,2026-03-01T14:57:00Z
EV_0129,1,human,deny,2026-03-01T15:04:00Z
EV_0130,1,tool,escalate,2026-03-01T15:11:00Z
EV_0131,0,human,request_more_info,2026-03-01T15:18:00Z
EV_0132,0,human,deny,2026-03-01T15:25:00Z
EV_0133,0,tool,escalate,2026-03-01T15:32:00Z
EV_0134,1,tool,approve,2026-03-01T15:39:00Z
EV_0135,0,tool,approve,2026-03-01T15:46:00Z
EV_0136,0,human,approve,2026-03-01T15:53:00Z
EV_0137,0,tool,deny,2026-03-01T16:00:00Z
EV_0138,0,human,approve,2026-03-01T16:07:00Z
EV_0139,1,tool,request_more_info,2026-03-01T16:14:00Z
EV_0140,0,human,escalate,2026-03-01T16:21:00Z
EV_0141,1,human,request_more_info,2026-03-01T16:28:00Z
EV_0142,1,human,deny,2026-03-01T16:35:00Z
EV_0143,1,human,escalate,2026-03-01T16:42:00Z
EV_0144,1,human,deny,2026-03-01T16:49:00Z
EV_0145,1,tool,approve,2026-03-01T16:56:00Z
EV_0146,1,tool,approve,2026-03-01T17:03:00Z
EV_0147,1,tool,escalate,2026-03-01T17:10:00Z
EV_0148,0,human,request_more_info,2026-03-01T17:17:00Z
EV_0149,1,human,request_more_info,2026-03-01T17:24:00Z
EV_0150,1,human,escalate,2026-03-01T17:31:00Z
EV_0151,1,tool,escalate,2026-03-01T17:38:00Z
EV_0152,0,tool,request_more_info,2026-03-01T17:45:00Z
EV_0153,0,tool,deny,2026-03-01T17:52:00Z
EV_0154,1,tool,request_more_info,2026-03-01T17:59:00Z
EV_0155,1,human,approve,2026-03-01T18:06:00Z
EV_0156,1,tool,deny,2026-03-01T18:13:00Z
EV_0157,1,human,request_more_info,2026-03-01T18:20:00Z
EV_0158,1,tool,request_more_info,2026-03-01T18:27:00Z
EV_0159,1,human,deny,2026-03-01T18:34:00Z
EV_0160,1,human,request_more_info,2026-03-01T18:41:00Z
EV_0161,0,human,approve,2026-03-01T18:48:00Z
EV_0162,1,tool,escalate,2026-03-01T18:55:00Z
EV_0163,1,human,approve,2026-03-01T19:02:00Z
EV_0164,1,tool,escalate,2026-03-01T19:09:00Z
EV_0165,1,tool,request_more_info,2026-03-01T19:16:00Z
EV_0166,1,human,request_more_info,2026-03-01T19:23:00Z
EV_0167,1,tool,deny,2026-03-01T19:30:00Z
EV_0168,1,tool,approve,2026-03-01T19:37:00Z
EV_0169,1,human,approve,2026-03-01T19:44:00Z
EV_0170,0,human,request_more_info,2026-03-01T19:51:00Z
EV_0171,0,tool,approve,2026-03-01T19:58:00Z
EV_0172,1,human,deny,2026-03-01T20:05:00Z
EV_0173,1,human,request_more_info,2026-03-01T20:12:00Z
EV_0174,1,tool,escalate,2026-03-01T20:19:00Z
EV_0175,1,human,escalate,2026-03-01T20:26:00Z
EV_0176,1,tool,request_more_info,2026-03-01T20:33:00Z
EV_0177,1,tool,escalate,2026-03-01T20:40:00Z
EV_0178,0,tool,deny,2026-03-01T20:47:00Z
EV_0179,1,tool,escalate,2026-03-01T20:54:00Z
EV_0180,0,tool,deny,2026-03-01T21:01:00Z
EV_0181,0,human,deny,2026-03-01T21:08:00Z
EV_0182,1,human,deny,2026-03-01T21:15:00Z
EV_0183,0,human,approve,2026-03-01T21:22:00Z
EV_0184,0,tool,deny,2026-03-01T21:29:00Z
EV_0185,1,human,approve,2026-03-01T21:36:00Z
EV_0186,1,tool,approve,2026-03-01T21:43:00Z
EV_0187,1,human,deny,2026-03-01T21:50:00Z
EV_0188,1,human,escalate,2026-03-01T21:57:00Z
EV_0189,0,human,request_more_info,2026-03-01T22:04:00Z
EV_0190,1,human,approve,2026-03-01T22:11:00Z
EV_0191,1,human,request_more_info,2026-03-01T22:18:00Z
EV_0192,1,tool,request_more_info,2026-03-01T22:25:00Z
EV_0193,1,human,approve,2026-03-01T22:32:00Z
EV_0194,0,human,request_more_info,2026-03-01T22:39:00Z
EV_0195,1,tool,approve,2026-03-01T22:46:00Z
EV_0196,1,human,deny,2026-03-01T22:53:00Z
EV_0197,0,tool,request_more_info,2026-03-01T23:00:00Z
EV_0198,1,tool,approve,2026-03-01T23:07:00Z
EV_0199,0,human,deny,2026-03-01T23:14:00Z
EV_0200,1,tool,deny,2026-03-01T23:21:00Z
EV_0201,0,human,approve,2026-03-01T23:28:00Z
EV_0202,0,tool,request_more_info,2026-03-01T23:35:00Z
EV_0203,0,human,request_more_info,2026-03-01T23:42:00Z
EV_0204,1,human,deny,2026-03-01T23:49:00Z
EV_0205,1,human,escalate,2026-03-01T23:56:00Z
EV_0206,1,tool,request_more_info,2026-03-02T00:03:00Z
EV_0207,1,tool,deny,2026-03-02T00:10:00Z
EV_0208,1,tool,escalate,2026-03-02T00:17:00Z
EV_0209,0,human,escalate,2026-03-02T00:24:00Z
EV_0210,1,tool,deny,2026-03-02T00:31:00Z
EV_0211,1,tool,deny,2026-03-02T00:38:00Z
EV_0212,0,tool,escalate,2026-03-02T00:45:00Z
EV_0213,0,tool,escalate,2026-03-02T00:52:00Z
EV_0214,1,tool,deny,2026-03-02T00:59:00Z
EV_0215,1,human,deny,2026-03-02T01:06:00Z
EV_0216,1,human,deny,2026-03-02T01:13:00Z
EV_0217,0,human,escalate,2026-03-02T01:20:00Z
EV_0218,0,human,deny,2026-03-02T01:27:00Z
EV_0219,1,human,approve,2026-03-02T01:34:00Z
EV_0220,0,human,request_more_info,2026-03-02T01:41:00Z
EV_0221,1,tool,approve,2026-03-02T01:48:00Z
EV_0222,1,human,escalate,2026-03-02T01:55:00Z
EV_0223,1,human,deny,2026-03-02T02:02:00Z
EV_0224,0,human,deny,2026-03-02T02:09:00Z
EV_0225,1,human,request_more_info,2026-03-02T02:16:00Z
EV_0226,1,human,deny,2026-03-02T02:23:00Z
EV_0227,1,human,deny,2026-03-02T02:30:00Z
EV_0228,0,tool,approve,2026-03-02T02:37:00Z
EV_0229,1,human,escalate,2026-03-02T02:44:00Z
EV_0230,1,tool,approve,2026-03-02T02:51:00Z
EV_0231,1,tool,escalate,2026-03-02T02:58:00Z
EV_0232,1,human,request_more_info,2026-03-02T03:05:00Z
EV_0233,1,human,request_more_info,2026-03-02T03:12:00Z
EV_0234,1,tool,approve,2026-03-02T03:19:00Z
EV_0235,1,human,request_more_info,2026-03-02T03:26:00Z
EV_0236,1,human,escalate,2026-03-02T03:33:00Z
EV_0237,0,tool,deny,2026-03-02T03:40:00Z
EV_0238,1,tool,deny,2026-03-02T03:47:00Z
EV_0239,1,tool,request_more_info,2026-03-02T03:54:00Z
EV_0240,0,human,escalate,2026-03-02T04:01:00Z
EV_0241,0,tool,approve,2026-03-02T04:08:00Z
EV_0242,1,human,approve,2026-03-02T04:15:00Z
EV_0243,1,human,approve,2026-03-02T04:22:00Z
EV_0244,1,tool,escalate,2026-03-02T04:29:00Z
EV_0245,0,human,deny,2026-03-02T04:36:00Z
EV_0246,1,human,request_more_info,2026-03-02T04:43:00Z
EV_0247,1,tool,approve,2026-03-02T04:50:00Z
EV_0248,1,tool,deny,2026-03-02T04:57:00Z
EV_0249,1,human,escalate,2026-03-02T05:04:00Z
EV_0250,1,tool,escalate,2026-03-02T05:11:00Z
EV_0251,1,human,approve,2026-03-02T05:18:00Z
EV_0252,1,human,deny,2026-03-02T05:25:00Z
EV_0253,0,human,approve,2026-03-02T05:32:00Z
EV_0254,1,tool,escalate,2026-03-02T05:39:00Z
EV_0255,0,human,request_more_info,2026-03-02T05:46:00Z
EV_0256,1,tool,escalate,2026-03-02T05:53:00Z
EV_0257,1,tool,approve,2026-03-02T06:00:00Z
EV_0258,1,human,request_more_info,2026-03-02T06:07:00Z
EV_0259,1,human,approve,2026-03-02T06:14:00Z
EV_0260,1,human,escalate,2026-03-02T06:21:00Z
EV_0261,0,tool,approve,2026-03-02T06:28:00Z
EV_0262,0,tool,approve,2026-03-02T06:35:00Z
EV_0263,1,human,request_more_info,2026-03-02T06:42:00Z
EV_0264,1,tool,deny,2026-03-02T06:49:00Z
EV_0265,1,human,deny,2026-03-02T06:56:00Z
EV_0266,0,human,escalate,2026-03-02T07:03:00Z
EV_0267,1,human,deny,2026-03-02T07:10:00Z
EV_0268,0,tool,escalate,2026-03-02T07:17:00Z
EV_0269,0,tool,deny,2026-03-02T07:24:00Z
EV_0270,1,tool,deny,2026-03-02T07:31:00Z
EV_0271,1,tool,deny,2026-03-02T07:38:00Z
EV_0272,1,tool,deny,2026-03-02T07:45:00Z
EV_0273,0,tool,escalate,2026-03-02T07:52:00Z
EV_0274,1,human,escalate,2026-03-02T07:59:00Z
EV_0275,1,human,deny,2026-03-02T08:06:00Z
EV_0276,1,tool,deny,2026-03-02T08:13:00Z
EV_0277,1,tool,request_more_info,2026-03-02T08:20:00Z
EV_0278,0,tool,deny,2026-03-02T08:27:00Z
EV_0279,1,tool,approve,2026-03-02T08:34:00Z
EV_0280,1,tool,escalate,2026-03-02T08:41:00Z
EV_0281,1,tool,escalate,2026-03-02T08:48:00Z
EV_0282,0,tool,request_more_info,2026-03-02T08:55:00Z
EV_0283,1,tool,deny,2026-03-02T09:02:00Z
EV_0284,1,tool,escalate,2026-03-02T09:09:00Z
EV_0285,1,tool,approve,2026-03-02T09:16:00Z
EV_0286,1,tool,escalate,2026-03-02T09:23:00Z
EV_0287,0,human,deny,2026-03-02T09:30:00Z
EV_0288,1,human,request_more_info,2026-03-02T09:37:00Z
EV_0289,1,tool,approve,2026-03-02T09:44:00Z
EV_0290,1,human,approve,2026-03-02T09:51:00Z
EV_0291,0,human,escalate,2026-03-02T09:58:00Z
EV_0292,1,human,deny,2026-03-02T10:05:00Z
EV_0293,1,tool,request_more_info,2026-03-02T10:12:00Z
EV_0294,0,human,request_more_info,2026-03-02T10:19:00Z
EV_0295,1,human,deny,2026-03-02T10:26:00Z
EV_0296,0,human,deny,2026-03-02T10:33:00Z
EV_0297,1,tool,approve,2026-03-02T10:40:00Z
EV_0298,1,tool,approve,2026-03-02T10:47:00Z
EV_0299,1,tool,request_more_info,2026-03-02T10:54:00Z
EV_0300,0,tool,deny,2026-03-02T11:01:00Z
EV_0301,1,tool,request_more_info,2026-03-02T11:08:00Z
EV_0302,1,human,deny,2026-03-02T11:15:00Z
EV_0303,1,human,approve,2026-03-02T11:22:00Z
EV_0304,1,human,approve,2026-03-02T11:29:00Z
EV_0305,1,human,approve,2026-03-02T11:36:00Z
EV_0306,1,human,deny,2026-03-02T11:43:00Z
EV_0307,1,tool,deny,2026-03-02T11:50:00Z
EV_0308,1,tool,request_more_info,2026-03-02T11:57:00Z
EV_0309,1,human,escalate,2026-03-02T12:04:00Z
EV_0310,0,tool,approve,2026-03-02T12:11:00Z
EV_0311,1,tool,approve,2026-03-02T12:18:00Z
EV_0312,1,tool,deny,2026-03-02T12:25:00Z
EV_0313,0,human,approve,2026-03-02T12:32:00Z
EV_0314,1,human,request_more_info,2026-03-02T12:39:00Z
EV_0315,0,human,approve,2026-03-02T12:46:00Z
EV_0316,0,human,request_more_info,2026-03-02T12:53:00Z
EV_0317,1,human,escalate,2026-03-02T13:00:00Z
EV_0318,0,tool,deny,2026-03-02T13:07:00Z
EV_0319,1,tool,request_more_info,2026-03-02T13:14:00Z
EV_0320,0,human,deny,2026-03-02T13:21:00Z
